Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Environment 1,Environment 2
bfa3036d91ac4189a36cdddbfa97f6b6,298.15,100.0,2,COC(C)=O,0.5065,CCCCC(=O)OC,0.4935,0.1701076196921747,0.0,-0.006545935428711613,0.039380243282448234,ester,ester
df9b34ee91754b76b08eaa716e71d33f,298.15,100.0,2,COC(C)=O,0.2617,CCCCC(=O)OC,0.7383,0.1097178498217204,0.0,-0.00040292560770223315,0.04047858657937546,ester,ester
54e7e073a8d24388990cbd809510afba,298.15,100.0,2,COC(C)=O,0.7489,CCCCC(=O)OC,0.2511,0.1605713741787227,0.0,0.06597750029738732,0.03638180954225865,ester,ester
f2dbf1563fef4238ae2d4febe9d782f7,298.15,101.0,2,CCCC(=O)O,0.2928,CCCCC(=O)O,0.7072,0.012563897505444288,0.0,0.026687793488365356,0.04909886160008641,ester,ester
cbc39d4f3ad743e38cdb0fff6d05c788,298.15,101.0,2,CCCC(=O)O,0.4922,CCCCC(=O)O,0.5078,0.014834481105992838,0.0,-0.04719245233929113,0.037747966686788544,ester,ester
38dc5fb2f0a340f3894ca2fa9b2efbda,298.15,101.0,2,CCCC(=O)O,0.7973,CCCCC(=O)O,0.2027,0.006985103681877547,0.0,0.0225892800739735,0.036946778890703774,ester,ester
a287c68eb9494f6f8b65c0a290d9b0fe,298.15,101.0,2,CCCC(=O)O,0.2996,CCC(=O)O,0.7004,0.0255487265721186,0.0,0.012904565698184873,0.03167486337516902,ester,ester
9fe4989b0e0b4f0883846581b1625a07,298.15,101.0,2,CCCC(=O)O,0.7993,CCC(=O)O,0.2007,0.020398689816113702,0.0,0.04551087785371711,0.030498452981394954,ester,ester
5843ee1b41274000bf33b28ce5d25961,298.15,101.0,2,CCCC(=O)O,0.4999,CCC(=O)O,0.5001,0.03084990474086169,0.0,0.004285738803672384,0.03255473924386765,ester,ester
9d40b989907548f99cfcdf995b78b7be,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.10391545955037174,0.0,0.012742605562068339,0.03841150498023267,ester,ester
8eb6b1cd368842e49ef7cbf8f6d3f6fd,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.09894594011771927,0.0,0.013640607202455586,0.043015386023967914,ester,ester
2fb3e633443f404f934c9772a8deb6bd,298.15,100.0,2,COC(C)=O,0.3042,CCCC(=O)OC,0.6958,0.08341429185595928,0.0,0.04450527075645365,0.03988019643009784,ester,ester
2e0907cfb93b49d4ba03febe99da1a39,298.15,101.3,2,CC(=O)O,0.7989,CCOC(C)=O,0.2011,-0.05202557654472173,0.0,-0.2470600771265899,0.023986998972002488,ester,ester
3506cac4a1d043a5b6b2c5f28c12c888,298.15,101.3,2,CC(=O)O,0.5007,CCOC(C)=O,0.4993,-0.14632017829911348,0.0,-0.4611392921684914,0.029206928355126963,ester,ester
3160e4ab487d472497c8c6fcbc2a383c,298.15,101.3,2,CC(=O)O,0.2944,CCOC(C)=O,0.7056,-0.16906167993846566,0.0,-0.4502512399801333,0.033238967337991705,ester,ester
29f648df759949b883d992a2e4c3f22c,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.5,O=C1CCCO1,0.5,-0.2256690234508341,0.0,-0.1414127971419449,0.03635279657807509,ester,ester
89c368d7a9a247e58cef069471839ec6,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.7001,O=C1CCCO1,0.2999,-0.14462163889201562,0.0,-0.09150850652006516,0.03786192739539354,ester,ester
c9ca5267944d49269fb4ab01594056ae,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.2,O=C1CCCO1,0.8,-0.16950884729129,0.0,-0.13831291241037302,0.029431007200550034,ester,ester
b5efeecb602a4657b7083675fc1869d2,298.15,101.0,2,CCCC(=O)O,0.8,CC(C)C(=O)O,0.2,-0.017702080663873687,0.0,0.060581506496350655,0.031277362254567606,ester,ester
9007511cdc434f118093293053337891,298.15,101.0,2,CCCC(=O)O,0.3,CC(C)C(=O)O,0.7,-0.009990609953277385,0.0,-0.016496046155902225,0.04276618654771683,ester,ester
7d5979563e674627a9b746a80c21dee8,298.15,101.0,2,CCCC(=O)O,0.5,CC(C)C(=O)O,0.5,-0.016610521680611612,0.0,0.1555696000339301,0.030372907960677376,ester,ester
f796ad0441e249e7b9493e74b7c3830e,298.15,100.0,2,CCCC(=O)OCC,0.2,CCOC(=O)CCC(=O)OCC,0.8,-0.10921494122791844,0.0,-0.12116831955857704,0.05247110580310382,ester,ester
9e64e1a286854d849e38cf9b840ff324,298.15,100.0,2,CCCC(=O)OCC,0.7999,CCOC(=O)CCC(=O)OCC,0.2001,-0.14444327665671608,0.0,-0.2695447542912684,0.049236476685096224,ester,ester
b3808101b1dd48d9b1b0b78d5a81ae3a,298.15,100.0,2,CCCC(=O)OCC,0.5,CCOC(=O)CCC(=O)OCC,0.5,-0.16897629386573956,0.0,-0.47104751884279644,0.04997184314044734,ester,ester
