Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Environment 1,Environment 2
bfa3036d91ac4189a36cdddbfa97f6b6,298.15,100.0,2,COC(C)=O,0.5065,CCCCC(=O)OC,0.4935,0.1701076196921747,0.0,0.024113586387959154,0.033937872467756244,ester,ester
df9b34ee91754b76b08eaa716e71d33f,298.15,100.0,2,COC(C)=O,0.2617,CCCCC(=O)OC,0.7383,0.1097178498217204,0.0,-0.013725620856862804,0.038130504625071435,ester,ester
54e7e073a8d24388990cbd809510afba,298.15,100.0,2,COC(C)=O,0.7489,CCCCC(=O)OC,0.2511,0.1605713741787227,0.0,0.04190131362004468,0.03536541776134874,ester,ester
f2dbf1563fef4238ae2d4febe9d782f7,298.15,101.0,2,CCCC(=O)O,0.2928,CCCCC(=O)O,0.7072,0.012563897505444288,0.0,-0.015645992677487414,0.043193555474114756,ester,ester
cbc39d4f3ad743e38cdb0fff6d05c788,298.15,101.0,2,CCCC(=O)O,0.4922,CCCCC(=O)O,0.5078,0.014834481105992838,0.0,-0.0678032285912489,0.03435318234754097,ester,ester
38dc5fb2f0a340f3894ca2fa9b2efbda,298.15,101.0,2,CCCC(=O)O,0.7973,CCCCC(=O)O,0.2027,0.006985103681877547,0.0,-0.004789894726507562,0.039190740994603374,ester,ester
a287c68eb9494f6f8b65c0a290d9b0fe,298.15,101.0,2,CCCC(=O)O,0.2996,CCC(=O)O,0.7004,0.0255487265721186,0.0,-0.02822975682726855,0.027640679964375067,ester,ester
9fe4989b0e0b4f0883846581b1625a07,298.15,101.0,2,CCCC(=O)O,0.7993,CCC(=O)O,0.2007,0.020398689816113702,0.0,-0.051856114253601704,0.030329935126368057,ester,ester
5843ee1b41274000bf33b28ce5d25961,298.15,101.0,2,CCCC(=O)O,0.4999,CCC(=O)O,0.5001,0.03084990474086169,0.0,-0.033740621902780564,0.027841838000217292,ester,ester
9d40b989907548f99cfcdf995b78b7be,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.10391545955037174,0.0,0.002041698197188903,0.026647066187318623,ester,ester
8eb6b1cd368842e49ef7cbf8f6d3f6fd,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.09894594011771927,0.0,0.02285299089203528,0.03428179254673462,ester,ester
2fb3e633443f404f934c9772a8deb6bd,298.15,100.0,2,COC(C)=O,0.3042,CCCC(=O)OC,0.6958,0.08341429185595928,0.0,0.03734380727783496,0.035700737319919316,ester,ester
2e0907cfb93b49d4ba03febe99da1a39,298.15,101.3,2,CC(=O)O,0.7989,CCOC(C)=O,0.2011,-0.05202557654472173,0.0,-0.10968235401764721,0.020704296489069792,ester,ester
3506cac4a1d043a5b6b2c5f28c12c888,298.15,101.3,2,CC(=O)O,0.5007,CCOC(C)=O,0.4993,-0.14632017829911348,0.0,-0.2375426139255808,0.025388066711842773,ester,ester
3160e4ab487d472497c8c6fcbc2a383c,298.15,101.3,2,CC(=O)O,0.2944,CCOC(C)=O,0.7056,-0.16906167993846566,0.0,-0.2306888371343018,0.02830583643577185,ester,ester
29f648df759949b883d992a2e4c3f22c,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.5,O=C1CCCO1,0.5,-0.2256690234508341,0.0,-0.09206931880617077,0.03308970862356406,ester,ester
89c368d7a9a247e58cef069471839ec6,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.7001,O=C1CCCO1,0.2999,-0.14462163889201562,0.0,-0.14622791147529124,0.0447823616056069,ester,ester
c9ca5267944d49269fb4ab01594056ae,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.2,O=C1CCCO1,0.8,-0.16950884729129,0.0,-0.013048535582534273,0.029535945663051386,ester,ester
b5efeecb602a4657b7083675fc1869d2,298.15,101.0,2,CCCC(=O)O,0.8,CC(C)C(=O)O,0.2,-0.017702080663873687,0.0,-0.08739149909543041,0.028507694174338082,ester,ester
9007511cdc434f118093293053337891,298.15,101.0,2,CCCC(=O)O,0.3,CC(C)C(=O)O,0.7,-0.009990609953277385,0.0,-0.044379641141073546,0.03312623352734888,ester,ester
7d5979563e674627a9b746a80c21dee8,298.15,101.0,2,CCCC(=O)O,0.5,CC(C)C(=O)O,0.5,-0.016610521680611612,0.0,-0.08438944501484173,0.028406320457660245,ester,ester
f796ad0441e249e7b9493e74b7c3830e,298.15,100.0,2,CCCC(=O)OCC,0.2,CCOC(=O)CCC(=O)OCC,0.8,-0.10921494122791844,0.0,-0.11457098986103716,0.05879515763359288,ester,ester
9e64e1a286854d849e38cf9b840ff324,298.15,100.0,2,CCCC(=O)OCC,0.7999,CCOC(=O)CCC(=O)OCC,0.2001,-0.14444327665671608,0.0,-0.16671153960791102,0.04003932085196572,ester,ester
b3808101b1dd48d9b1b0b78d5a81ae3a,298.15,100.0,2,CCCC(=O)OCC,0.5,CCOC(=O)CCC(=O)OCC,0.5,-0.16897629386573956,0.0,-0.25146718591819295,0.046292279907599994,ester,ester
