Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
67fd1b1ec5d0464c8b65925b5233886c,298.15,101.0,2,CCCCCCO,0.738,CCCCCC(=O)O,0.262,0.4,0.0,0.37364553560805547,0.04699092899383909,alcohol,ester
e7a08a269c7743469364b9e6c4751cd9,298.15,101.0,2,CCCCCCO,0.256,CCCCCC(=O)O,0.7440000000000001,0.58,0.0,0.24545892566996752,0.053765675698287385,alcohol,ester
632d145ba57b4ed98199bd2bf4eb48f2,298.15,101.0,2,CCCCCCO,0.506,CCCCCC(=O)O,0.494,0.624,0.0,0.4244193482492875,0.04700314924761629,alcohol,ester
4c3a0a78881a4c47ad6fa85f7b486927,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.499,CCCO,0.501,2.025,0.0,2.0795533412133693,0.05688911377705072,ester,alcohol
d56eb7a3f0bc487586ee6638ef4cb7d4,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.2491,CCCO,0.7509,1.588,0.0,1.7183003524642828,0.03982710483998331,ester,alcohol
7f3ec727838f45b59cf328a6527ee5a6,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.7487,CCCO,0.2513,1.6219999999999999,0.0,1.4062256125084218,0.053138946891479716,ester,alcohol
4661852202a84579bccbfeda737a22a4,298.15,100.0,2,CCOC(=O)CC(C)=O,0.7007,CCCO,0.2993,1.6319,0.0,1.3424634281168721,0.045113910660532594,ester,alcohol
661c15e26ccd4e58a199a6dbe2ac1e31,298.15,100.0,2,CCOC(=O)CC(C)=O,0.4997,CCCO,0.5003,1.881,0.0,1.6958903351833925,0.04939563671376475,ester,alcohol
e07841a1ca734fc599e07569cc8dcc1c,298.15,100.0,2,CCOC(=O)CC(C)=O,0.1998,CCCO,0.8002,1.3555,0.0,1.3152419313303803,0.03987662608544796,ester,alcohol
2d09e8d8901a4bb69cefe88c4fc389aa,298.15,101.3,2,CCOC(=O)CC(C)=O,0.1996,CCCCCO,0.8004,1.3840000000000001,0.0,1.5808908681615588,0.05125903959433253,ester,alcohol
7ddd9dd0918a406aae23ff513f9e9fd6,298.15,101.3,2,CCOC(=O)CC(C)=O,0.7995,CCCCCO,0.2005,1.431,0.0,1.2500342487411444,0.045960893871243316,ester,alcohol
5766a4e1fb844232ba3e753c61348cad,298.15,101.3,2,CCOC(=O)CC(C)=O,0.5003,CCCCCO,0.4997,1.945,0.0,2.1437295805609295,0.045388173421755953,ester,alcohol
19f87a210c854534ac8035319b9a9bff,298.2,101.3,2,COC(=O)CC(C)=O,0.5008,CCCO,0.4992,2.053,0.0,1.9148233824763707,0.04258455556514168,ester,alcohol
dab8fa4643a545dbb99af5a0ddef313f,298.2,101.3,2,COC(=O)CC(C)=O,0.2993,CCCO,0.7007,1.7990000000000002,0.0,1.7801061405690248,0.039377425529763775,ester,alcohol
d3dbe0bf49944866a8fbe91b2a2f8dce,298.2,101.3,2,COC(=O)CC(C)=O,0.7,CCCO,0.3,1.788,0.0,1.47558372642753,0.04151505574388448,ester,alcohol
