Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x,Pure Density,Slope,1.1277644363350636,0.013539366510067818,1.100071416376639,1.1537012899877286,alcohol
h_mix_rho_x,Pure Density,Intercept,-0.11884021877059281,0.012582099714270958,-0.1424067262640879,-0.09370228719629281,alcohol
h_mix_rho_x,Pure Density,R,0.9960438993449199,0.0016092171623228384,0.9919699373810656,0.9982087190557318,alcohol
h_mix_rho_x,Pure Density,R^2,0.9921034494222329,0.0032023728351603105,0.9840043566677953,0.996420646798885,alcohol
h_mix_rho_x,Pure Density,p,7.220431151239973e-29,4.560651624839723e-24,2.4650512036219083e-33,7.103584560312248e-25,alcohol
h_mix_rho_x,Pure Density,RMSE,0.023308461039666946,0.0024635592443294912,0.018323214483320065,0.027908291062406335,alcohol
h_mix_rho_x,Pure Density,MSE,0.005061871275968569,0.0042987497951304555,-0.0030328472149225016,0.013296258796119018,alcohol
h_mix_rho_x,Pure Density,MUE,0.019223427393601573,0.002516113090014987,0.014449265912435175,0.024230550268911195,alcohol
h_mix_rho_x,Pure Density,Tau,0.8227146814404432,0.07255359702755412,0.621338861127883,0.9043537042846254,alcohol
h_mix_rho_x,Pure Density,Slope,1.0033128254278123,0.02051315490988175,0.9587170792020395,1.040233842518509,ester
h_mix_rho_x,Pure Density,Intercept,-0.009597582800156768,0.01927111390149283,-0.04420881282488409,0.034061529532416146,ester
h_mix_rho_x,Pure Density,R,0.9899972184055161,0.002716835364689924,0.9836017458072694,0.9944405304063602,ester
h_mix_rho_x,Pure Density,R^2,0.9800944924506592,0.005374654357177598,0.9674723943551083,0.9889119685148829,ester
h_mix_rho_x,Pure Density,p,3.379182780562394e-44,6.087617381722457e-36,1.567953838444574e-50,7.312429363558094e-39,ester
h_mix_rho_x,Pure Density,RMSE,0.014786144163679451,0.0013905696022933902,0.011936128038201852,0.01746372240600904,ester
h_mix_rho_x,Pure Density,MSE,-0.00639189860625238,0.0018780837511387105,-0.010059560286729035,-0.0027543661851230318,ester
h_mix_rho_x,Pure Density,MUE,0.011883289518052257,0.0012699472182155283,0.00944577490369531,0.014399512913441576,ester
h_mix_rho_x,Pure Density,Tau,0.9352351580570547,0.023433958054432776,0.8614112458593791,0.9517983296538322,ester
h_mix_rho_x_rho_pure,Pure Density,Slope,1.1022133963856,0.013263501480971536,1.0735295212781961,1.1273847657954534,alcohol
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.09437055419739504,0.012144889966716636,-0.11680100165330565,-0.06845771878804141,alcohol
h_mix_rho_x_rho_pure,Pure Density,R,0.996251641510159,0.0014482968932835356,0.992721574952016,0.9982985684897908,alcohol
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9925173332116863,0.002883457204838106,0.985496125375211,0.9966000318487656,alcohol
h_mix_rho_x_rho_pure,Pure Density,p,3.585303065254925e-29,1.0988877539493991e-24,1.2880453791515584e-33,2.166165927061643e-25,alcohol
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.020158426505998063,0.0022709778852249905,0.015291201137785414,0.02432934798138295,alcohol
h_mix_rho_x_rho_pure,Pure Density,MSE,0.004752909312597737,0.0036851182568014246,-0.0023364597259135167,0.012410829666273323,alcohol
h_mix_rho_x_rho_pure,Pure Density,MUE,0.015966983892783487,0.0023365167871625915,0.01140497177383946,0.02059830513791507,alcohol
h_mix_rho_x_rho_pure,Pure Density,Tau,0.7728531855955678,0.07890354734698453,0.5668078166654071,0.8782781322999011,alcohol
h_mix_rho_x_rho_pure,Pure Density,Slope,0.9747374544199082,0.02016843244642048,0.9333380616782962,1.010471199022949,ester
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.016796324689901665,0.01891552373239367,-0.016266296812896597,0.05626380631561889,ester
h_mix_rho_x_rho_pure,Pure Density,R,0.9903758687579948,0.00266773423979466,0.9841549590244384,0.9947335484417645,ester
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9808443614181529,0.00527915137661001,0.968560983372394,0.9894948323955444,ester
h_mix_rho_x_rho_pure,Pure Density,p,1.2934110870033607e-44,2.2560704417742298e-37,4.006117131972123e-51,3.184629262173969e-39,ester
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.015010568895863885,0.001687135641875574,0.011689240628771837,0.018256504574822027,ester
h_mix_rho_x_rho_pure,Pure Density,MSE,-0.007649196158856986,0.0017877982568865912,-0.01134943043286951,-0.004252072125639313,ester
h_mix_rho_x_rho_pure,Pure Density,MUE,0.011425433605293894,0.001334718182041434,0.0089764491386204,0.014191909395828584,ester
h_mix_rho_x_rho_pure,Pure Density,Tau,0.9121048573631456,0.03156181005797555,0.8203122890465555,0.9429254377411483,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,Slope,1.1225908251766443,0.012796794938930761,1.0968041825776669,1.1479887210014212,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Density,Intercept,-0.11147606894611328,0.01166248277553774,-0.13356671768378892,-0.08798466110312686,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Density,R,0.9965079639818887,0.0013244001979121505,0.9931079087127317,0.9982852339778853,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Density,R^2,0.9930281222793291,0.002637245851681133,0.9862633183477755,0.9965734083782811,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Density,p,1.4296699789534824e-29,2.5292613598883065e-24,1.3954695832552708e-33,1.1767840080943987e-25,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Density,RMSE,0.02285244393671671,0.0025979642989911473,0.01745579438788774,0.027645503239277794,alcohol
h_mix_rho_x_rho_pure_h_vap,Pure Density,MSE,0.007408809315978767,0.0041419737440873084,-0.0005630621436396548,0.015581744497407454,alcohol
