Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
aabdc2d2b76f41ea90d1973817674483,313.15,101.0,2,CCCO,0.2497,CCCCCCC,0.7503,0.855,0.0,0.991316875550794,0.06426229429691298,alcohol,alkane
e25d65a9d159414b8acf6d3ab0538aa9,298.15,101.0,2,CCCO,0.7501,CCCCCCC,0.2499,0.391,0.0,0.4454267042732454,0.040756388930645086,alcohol,alkane
ebc9e336e1e54253a598165867a2d9f2,298.15,101.0,2,CCCO,0.5003,CCCCCCC,0.4997,0.614,0.0,0.6829040468976757,0.04156672447487506,alcohol,alkane
519267bfffc74145977de2fc45690da8,313.15,101.0,2,CCCCCO,0.7521,C1CCCCC1,0.2479,0.4121,0.0,0.4735307516506708,0.047938909801034706,alcohol,alkane
f7bc00fa87384b29abde87f6070c75d3,298.15,101.0,2,CCCCCO,0.5,C1CCCCC1,0.5,0.5985,0.0,0.8263801291371209,0.0562108195905513,alcohol,alkane
9b9efbc24388463ab3920c6a48295159,298.15,101.0,2,CCCCCO,0.2522,C1CCCCC1,0.7478,0.622,0.0,0.6967005880019741,0.042954403786869585,alcohol,alkane
3cf7ad16cc3b4ac0abd8dc61c672539e,313.15,101.0,2,CCCCO,0.2501,C1CCCCC1,0.7499,0.7869,0.0,0.9146522959940455,0.05372741410933741,alcohol,alkane
ea12bd80085a42a7b9493d379caddf59,298.15,101.0,2,C1CCCCC1,0.5003,CCCCO,0.4997,0.5873,0.0,0.5532676179879843,0.04266435375291109,alkane,alcohol
bb0b29b2e155493baec45f2b15dfc572,298.15,101.0,2,C1CCCCC1,0.7501,CCCCO,0.2499,0.6047,0.0,0.6503438150708121,0.04524962158439593,alkane,alcohol
0f14f9894ae348679137429a0c7d3157,313.15,101.0,2,CCCCCO,0.2491,CCCCCCC,0.7509,0.7825,0.0,0.8811699985325419,0.05525577332138177,alcohol,alkane
f44a9fa11d8948319b56120e21fa4753,313.15,101.0,2,CCCCCO,0.7483,CCCCCCC,0.2517,0.4441,0.0,0.42236394465872706,0.05222540536022973,alcohol,alkane
80239928cd5842e28be4d6598c95b967,313.15,101.0,2,CCCCCO,0.4984,CCCCCCC,0.5016,0.7403,0.0,0.7327673831783414,0.0489150310744321,alcohol,alkane
cf99c0a2d7214b7ca1b84435b2bed5c9,298.15,101.325,2,CCO,0.2426,CCCCCC,0.7574,0.5503,0.0,0.8163078922616904,0.05314825479433159,alcohol,alkane
1fa8c801cfcd4a12ad417f6e5e7068e9,298.15,101.325,2,CCO,0.7125,CCCCCC,0.2875,0.4453,0.0,0.5938613435801336,0.0348685589337702,alcohol,alkane
eb0be2704b69413fa69f493006e9931b,298.15,101.325,2,CCO,0.49,CCCCCC,0.51,0.5637,0.0,0.7632927683873092,0.039782823689773004,alcohol,alkane
66262a98d11749e9879992e4a599de59,298.15,101.0,2,CCCCCO,0.7514,CCCCCC,0.2486,0.2356,0.0,0.22860257688469687,0.052365533914027436,alcohol,alkane
aa11ce9db3e845de99406bf6393eae28,298.15,101.0,2,CCCCCO,0.2524,CCCCCC,0.7476,0.5269,0.0,0.5200436999750337,0.046491295116003,alcohol,alkane
f0da26afd8f34a51bd03d2551e8f1f0e,298.15,101.0,2,CCCCCO,0.5035,CCCCCC,0.4965,0.4776,0.0,0.48742109644742015,0.04678914482447222,alcohol,alkane
56b966d2e72a4c53839408615eae6d49,298.15,101.0,2,C1CCCC1,0.728,CCCCCO,0.272,0.4827,0.0,0.4003690073396342,0.038944798312591435,alkane,alcohol
26993dac294d457face4e0005c7f54ef,298.15,101.0,2,C1CCCC1,0.223,CCCCCO,0.777,0.1885,0.0,0.13242049918329002,0.06267144210878778,alkane,alcohol
0ed388c6d724492ba678ea25bca95259,298.15,101.0,2,C1CCCC1,0.535,CCCCCO,0.465,0.4381,0.0,0.3795782929406073,0.04424769525775051,alkane,alcohol
d2c08712ff464f99b613c717a05c6c8d,308.15,101.0,2,CCOCCO,0.4996,CCCCCC,0.5004,1.1864,0.0,1.5139850430184083,0.04621427238790216,alcohol,alkane
3e53be75136d4e05b696797c2bd9f811,308.15,101.0,2,CCOCCO,0.4996,CCCCCC,0.5004,1.1864,0.0,1.5139850430184083,0.04621427238790216,alcohol,alkane
03d2ba0b168c417ca5210f2e2b30b211,298.15,101.0,2,CCOCCO,0.7591,CCCCCC,0.2409,0.7976,0.0,1.1573266844453087,0.046417907101828824,alcohol,alkane
20b94aaa55164f778f26bffc0e3db288,298.15,101.0,2,CCOCCO,0.7591,CCCCCC,0.2409,0.7976,0.0,1.1573266844453087,0.046417907101828824,alcohol,alkane
3f575559b569438ab504a221b2c1d786,308.15,101.0,2,CCOCCO,0.2309,CCCCCC,0.7691,1.0344,0.0,1.1958049371898767,0.043107684698153764,alcohol,alkane
c2004c177d0641258446defd48dcff7f,308.15,101.0,2,CCOCCO,0.2309,CCCCCC,0.7691,1.0344,0.0,1.1958049371898767,0.043107684698153764,alcohol,alkane
0f2f0df2b3a94957b78be51dd1783c67,298.15,101.0,2,CCOCCO,0.2692,C1CCCCC1,0.7308,0.9902,0.0,1.28514347524046,0.03722949608128735,alcohol,alkane
a569dbddf2d94da2b846da0b7cc23c29,298.15,101.0,2,CCOCCO,0.2692,C1CCCCC1,0.7308,0.9902,0.0,1.28514347524046,0.03722949608128735,alcohol,alkane
298401b1fa604957b323d35ddcabd5e1,298.15,101.0,2,CCOCCO,0.7464,C1CCCCC1,0.2536,0.7986,0.0,1.1193989882182933,0.04067996557543921,alcohol,alkane
cc7d4baf3b924a409d45c92103972ca1,298.15,101.0,2,CCOCCO,0.7464,C1CCCCC1,0.2536,0.7986,0.0,1.1193989882182933,0.04067996557543921,alcohol,alkane
215b183c862c486cbee8e21fb32be997,298.15,101.0,2,CCOCCO,0.5249,C1CCCCC1,0.4751,1.069,0.0,1.337423158318984,0.0407330740657954,alcohol,alkane
98f5eb8c50844b3188ba27948ab7ddb3,298.15,101.0,2,CCOCCO,0.5249,C1CCCCC1,0.4751,1.069,0.0,1.337423158318984,0.0407330740657954,alcohol,alkane
15c69f0f43cf4b8c9da2ba1a0056b3c6,298.15,101.0,2,C1CCCC1,0.7559999999999999,CCCCCCO,0.244,0.4379,0.0,0.4228475995211909,0.03974075525827746,alkane,alcohol
