Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
81a27e5111c14bcc8e0c55ba91ea779c,318.15,101.3,2,CC(C)(C)O,0.5148,CCCCOC=O,0.4852,1.9204,0.0,0.5508738453115853,0.0455133553921865,alcohol,ester
f7c0f62c79bd47b49a6443cf2a3f6ab3,299.15,101.3,2,CC(C)(C)O,0.2217,CCCCOC=O,0.7783,1.3466,0.0,0.6384358539006172,0.046013758321099094,alcohol,ester
73903e734da44ad8adca242105180322,318.15,101.3,2,CC(C)(C)O,0.7303,CCCCOC=O,0.2697,1.501,0.0,0.5269163074132379,0.04926848913767224,alcohol,ester
ce9f78c4f90f428cbe7b1bf4bbb91742,299.15,101.0,2,CC(C)(C)O,0.2561,CCCOC=O,0.7439,1.5442,0.0,0.7471220699293752,0.0399040147773364,alcohol,ester
4b32474055094c6bb307355587ee137b,299.15,101.0,2,CC(C)(C)O,0.7493,CCCOC=O,0.2507,1.5596,0.0,0.7186743024628583,0.051351024430037064,alcohol,ester
d33f6f8b611c409bb1ca91452659ae0b,299.15,101.0,2,CC(C)(C)O,0.4937,CCCOC=O,0.5063,2.0159,0.0,0.9030819616014591,0.04215782412182881,alcohol,ester
e60c60180aa4496bb7c3c231170c33d2,313.15,101.0,2,CCCO,0.4995,CC(=O)O,0.5005,0.393,0.0,0.2832435940392273,0.03563021836248006,alcohol,ester
b518df723a1446968e66f3956749dca9,313.15,101.0,2,CCCO,0.7991,CC(=O)O,0.2009,0.237,0.0,0.1916800627941022,0.039371459158447,alcohol,ester
00e7527005ff4d4684f6a590a3140fb9,313.15,101.0,2,CCCO,0.2951,CC(=O)O,0.7049,0.389,0.0,0.22491021487225282,0.034627322923495504,alcohol,ester
9166aa5357684d5791b647d213a6aab0,318.15,101.325,2,CC(C)(C)O,0.7408,CCCOC(C)=O,0.2592,1.2791,0.0,0.15253231921781207,0.051832688338844794,alcohol,ester
f5cc0f62791543ca978e2412f44f41e7,318.15,101.325,2,CC(C)(C)O,0.5043,CCCOC(C)=O,0.4957,1.8156,0.0,0.2196036096367635,0.04946760320610416,alcohol,ester
d55de5f907c3438baad24f543b17cb5d,318.15,101.325,2,CC(C)(C)O,0.2244,CCCOC(C)=O,0.7756,1.3037,0.0,0.18213025950324457,0.048827913610582536,alcohol,ester
82f54f8b8758465fa2047f013412d185,299.15,101.325,2,CC(C)(C)O,0.7507,CCCOC(=O)CC,0.2493,1.25,0.0,0.44326035810956554,0.05175885411111056,alcohol,ester
47fdb210792f46418deced9e54daef3c,318.15,101.325,2,CC(C)(C)O,0.4963,CCCOC(=O)CC,0.5037,1.7235,0.0,0.4602868369515303,0.048091390144795416,alcohol,ester
ae13e53792f64a29a3d1ecdc65ebae6a,299.15,101.325,2,CC(C)(C)O,0.2795,CCCOC(=O)CC,0.7205,1.4369999999999998,0.0,0.5220290321587484,0.051619687112429063,alcohol,ester
6528a3242eaf48e68e852b98bb0ebfd4,298.15,101.0,2,CCCCCCO,0.506,CCCCCC(=O)O,0.494,0.624,0.0,0.35810261804421906,0.049914379615964906,alcohol,ester
6c6446fbff7742be9be67f4f409b76ef,298.15,101.0,2,CCCCCCO,0.256,CCCCCC(=O)O,0.7440000000000001,0.58,0.0,0.14237655316386544,0.0697329876954778,alcohol,ester
99ef7d6cd10448dbab48399fcb8905f7,298.15,101.0,2,CCCCCCO,0.738,CCCCCC(=O)O,0.262,0.4,0.0,0.3102829589939091,0.05275193790888831,alcohol,ester
31619a3e883747338e9f42141b5cad3e,298.15,101.0,2,CC(=O)O,0.7458,OCCO,0.2542,0.0279,0.0,0.09889507456962576,0.03364056633212824,ester,alcohol
1aa9ae886c954b839a85ccac6a7e353a,298.15,101.0,2,CC(=O)O,0.2458,OCCO,0.7542,-0.0249,0.0,0.16299301721337467,0.04113114707492076,ester,alcohol
bf0fce8625ff4edbb81c65a8b24c156e,298.15,101.0,2,CC(=O)O,0.4944,OCCO,0.5056,-0.0633,0.0,0.13110837608939363,0.038615525311428506,ester,alcohol
2e9b3f728d7b4081b9d755ee6d8e0623,313.15,101.0,2,CCCO,0.2005,CCCOC(C)=O,0.7995,1.042,0.0,0.08080730796356228,0.04793970180101083,alcohol,ester
b8767bb5b4604eb6b7e385f41e8fc8f3,313.15,101.0,2,CCCO,0.7006,CCCOC(C)=O,0.2994,1.208,0.0,0.1467935502675175,0.04278721457440793,alcohol,ester
e87da9f486cd446884619792bc0d809c,313.15,101.0,2,CCCO,0.5,CCCOC(C)=O,0.5,1.4680000000000002,0.0,0.15545872864341348,0.03973760193374472,alcohol,ester
0d961526389142fbb2708bd461c73734,298.15,100.0,2,CCCCC(=O)OC,0.264,CO,0.736,0.736,0.0,-0.38140220668398683,0.029264263947428853,ester,alcohol
a6441769b7ec4a0998feedba3d1020e1,298.15,100.0,2,CCCCC(=O)OC,0.7931,CO,0.2069,0.812,0.0,-0.2953548699856867,0.045541484482024226,ester,alcohol
ea6e3a38a0c74e92a115332feafbdeb2,298.15,100.0,2,CCCCC(=O)OC,0.5081,CO,0.4919,1.091,0.0,-0.47058589964776587,0.03628211181543175,ester,alcohol
