Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
a0a7c443cad846aa822ac62208d685d1,318.15,101.0,2,CCCOC=O,0.742,CCCCCCC,0.258,1.095,0.0,1.3785623519910217,0.043265494198359074,ester,alkane
378b89752b8341a1b70f54743dcab598,318.15,101.0,2,CCCOC=O,0.252,CCCCCCC,0.748,1.156,0.0,1.605420511440272,0.04078328706055009,ester,alkane
79b24c3d8eb0424e8aa5e38830542dcf,318.15,101.0,2,CCCOC=O,0.493,CCCCCCC,0.507,1.469,0.0,1.7730662039507052,0.04754195489487016,ester,alkane
6e6e474d0ad74866b749d78b33d74b2d,298.15,101.0,2,CCCCCCC,0.4996,CCCOC(C)=O,0.5004,1.144,0.0,1.5011990235561967,0.04219600006602806,alkane,ester
1a4164be878d480c9ff227bfc017d81b,318.15,101.3,2,CCCOC(C)=O,0.7526,CCCCCCC,0.2474,0.8282,0.0,1.0535907932052098,0.04786975201123438,ester,alkane
9f69c80ff33247019563c7137158ff45,298.15,101.0,2,CCCCCCC,0.2505,CCCOC(C)=O,0.7495,0.8456,0.0,1.205374834939228,0.04446717628934368,alkane,ester
2ad706702e0b4ffcb3e54699014025ff,291.15,101.0,2,CCCOC(C)=O,0.4984,CCCCCC,0.5016,1.109,0.0,1.4480266589854267,0.04321380358327554,ester,alkane
0907ec85329046798b11b049abeabb27,291.15,101.0,2,CCCOC(C)=O,0.2307,CCCCCC,0.7693,0.7509999999999999,0.0,1.1521061483503132,0.044906118783190056,ester,alkane
f1635d3f7aa14f809836f68562f5cb75,291.15,101.0,2,CCCOC(C)=O,0.7361,CCCCCC,0.2639,0.8170000000000001,0.0,1.0534548263821115,0.042407161262868524,ester,alkane
39fc7a62747a4cdbb40096b17f3d5cf7,291.15,101.0,2,CCCCOC=O,0.256,CCCCCCC,0.7440000000000001,0.888,0.0,1.2711055650703997,0.048486448882286065,ester,alkane
760cd25f58aa415ab5d8f79a4348e170,318.15,101.0,2,CCCCOC=O,0.488,CCCCCCC,0.512,1.242,0.0,1.588900548503048,0.04575783727634659,ester,alkane
d59e1636542347ecace887dd36dfeee6,318.15,101.0,2,CCCCOC=O,0.747,CCCCCCC,0.253,0.856,0.0,1.1238454767628099,0.04650137342387913,ester,alkane
8a748e87950f431fad183c8dd7d2e940,318.15,101.32,2,CCCCOC=O,0.2415,CCCCCC,0.7585,0.9076,0.0,1.2870408173822483,0.04712344362829999,ester,alkane
4874707a05dd4e828c630180b455ed9b,318.15,101.32,2,CCCCOC=O,0.5104,CCCCCC,0.4896,1.1515,0.0,1.377689642094353,0.03407927943750213,ester,alkane
7c7c00b3241c46889fb054360a6d0ac6,291.15,101.32,2,CCCCOC=O,0.7406,CCCCCC,0.2594,0.738,0.0,0.9393278873311885,0.04713188960912576,ester,alkane
6cd71b18711a43a88e227bd63c14da28,291.15,101.0,2,CCCCC,0.7679,CCCCOC=O,0.2321,0.779,0.0,1.091182479237105,0.033914406040109805,alkane,ester
