Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
aabdc2d2b76f41ea90d1973817674483,313.15,101.0,2,CCCO,0.2497,CCCCCCC,0.7503,0.855,0.0,1.302037272239076,0.05069969133186339,alcohol,alkane
e25d65a9d159414b8acf6d3ab0538aa9,298.15,101.0,2,CCCO,0.7501,CCCCCCC,0.2499,0.391,0.0,0.6280635872637887,0.04403837840024683,alcohol,alkane
ebc9e336e1e54253a598165867a2d9f2,298.15,101.0,2,CCCO,0.5003,CCCCCCC,0.4997,0.614,0.0,1.0096444570945522,0.050790115954669736,alcohol,alkane
519267bfffc74145977de2fc45690da8,313.15,101.0,2,CCCCCO,0.7521,C1CCCCC1,0.2479,0.4121,0.0,0.6624930492696564,0.04663474188952924,alcohol,alkane
f7bc00fa87384b29abde87f6070c75d3,298.15,101.0,2,CCCCCO,0.5,C1CCCCC1,0.5,0.5985,0.0,0.8927718300503216,0.050868802252213956,alcohol,alkane
9b9efbc24388463ab3920c6a48295159,298.15,101.0,2,CCCCCO,0.2522,C1CCCCC1,0.7478,0.622,0.0,0.8772192988073613,0.04459388528351226,alcohol,alkane
3cf7ad16cc3b4ac0abd8dc61c672539e,313.15,101.0,2,CCCCO,0.2501,C1CCCCC1,0.7499,0.7869,0.0,1.0314193987194074,0.05262758496933347,alcohol,alkane
ea12bd80085a42a7b9493d379caddf59,298.15,101.0,2,C1CCCCC1,0.5003,CCCCO,0.4997,0.5873,0.0,0.9215827069500051,0.04438267670487178,alkane,alcohol
bb0b29b2e155493baec45f2b15dfc572,298.15,101.0,2,C1CCCCC1,0.7501,CCCCO,0.2499,0.6047,0.0,0.9132414752654796,0.04167601874058419,alkane,alcohol
0f14f9894ae348679137429a0c7d3157,313.15,101.0,2,CCCCCO,0.2491,CCCCCCC,0.7509,0.7825,0.0,1.1734677013294998,0.05136916219762105,alcohol,alkane
f44a9fa11d8948319b56120e21fa4753,313.15,101.0,2,CCCCCO,0.7483,CCCCCCC,0.2517,0.4441,0.0,0.6192062239455396,0.058077067810266926,alcohol,alkane
80239928cd5842e28be4d6598c95b967,313.15,101.0,2,CCCCCO,0.4984,CCCCCCC,0.5016,0.7403,0.0,1.0607981661755588,0.057223223408302805,alcohol,alkane
cf99c0a2d7214b7ca1b84435b2bed5c9,298.15,101.325,2,CCO,0.2426,CCCCCC,0.7574,0.5503,0.0,1.0643433932207955,0.04255300747112189,alcohol,alkane
1fa8c801cfcd4a12ad417f6e5e7068e9,298.15,101.325,2,CCO,0.7125,CCCCCC,0.2875,0.4453,0.0,0.8084637296678601,0.03667370293238006,alcohol,alkane
eb0be2704b69413fa69f493006e9931b,298.15,101.325,2,CCO,0.49,CCCCCC,0.51,0.5637,0.0,1.0453906444238399,0.03507876720978858,alcohol,alkane
66262a98d11749e9879992e4a599de59,298.15,101.0,2,CCCCCO,0.7514,CCCCCC,0.2486,0.2356,0.0,0.4959482942500699,0.04666025838634782,alcohol,alkane
aa11ce9db3e845de99406bf6393eae28,298.15,101.0,2,CCCCCO,0.2524,CCCCCC,0.7476,0.5269,0.0,0.8149850695272534,0.046388737862837946,alcohol,alkane
f0da26afd8f34a51bd03d2551e8f1f0e,298.15,101.0,2,CCCCCO,0.5035,CCCCCC,0.4965,0.4776,0.0,0.7963411104008316,0.04826157858304519,alcohol,alkane
56b966d2e72a4c53839408615eae6d49,298.15,101.0,2,C1CCCC1,0.728,CCCCCO,0.272,0.4827,0.0,0.6492878072332786,0.039338148263999784,alkane,alcohol
26993dac294d457face4e0005c7f54ef,298.15,101.0,2,C1CCCC1,0.223,CCCCCO,0.777,0.1885,0.0,0.3501867218648229,0.047240610162463295,alkane,alcohol
0ed388c6d724492ba678ea25bca95259,298.15,101.0,2,C1CCCC1,0.535,CCCCCO,0.465,0.4381,0.0,0.5479335689709046,0.043036468667969494,alkane,alcohol
d2c08712ff464f99b613c717a05c6c8d,308.15,101.0,2,CCOCCO,0.4996,CCCCCC,0.5004,1.1864,0.0,1.510606060777107,0.05277330288152575,alcohol,alkane
3e53be75136d4e05b696797c2bd9f811,308.15,101.0,2,CCOCCO,0.4996,CCCCCC,0.5004,1.1864,0.0,1.510606060777107,0.05277330288152575,alcohol,alkane
03d2ba0b168c417ca5210f2e2b30b211,298.15,101.0,2,CCOCCO,0.7591,CCCCCC,0.2409,0.7976,0.0,1.0780803086084063,0.05635754127687807,alcohol,alkane
20b94aaa55164f778f26bffc0e3db288,298.15,101.0,2,CCOCCO,0.7591,CCCCCC,0.2409,0.7976,0.0,1.0780803086084063,0.05635754127687807,alcohol,alkane
3f575559b569438ab504a221b2c1d786,308.15,101.0,2,CCOCCO,0.2309,CCCCCC,0.7691,1.0344,0.0,1.2663416073202427,0.04411090944588859,alcohol,alkane
c2004c177d0641258446defd48dcff7f,308.15,101.0,2,CCOCCO,0.2309,CCCCCC,0.7691,1.0344,0.0,1.2663416073202427,0.04411090944588859,alcohol,alkane
0f2f0df2b3a94957b78be51dd1783c67,298.15,101.0,2,CCOCCO,0.2692,C1CCCCC1,0.7308,0.9902,0.0,1.407136446829739,0.04620960826963783,alcohol,alkane
a569dbddf2d94da2b846da0b7cc23c29,298.15,101.0,2,CCOCCO,0.2692,C1CCCCC1,0.7308,0.9902,0.0,1.407136446829739,0.04620960826963783,alcohol,alkane
298401b1fa604957b323d35ddcabd5e1,298.15,101.0,2,CCOCCO,0.7464,C1CCCCC1,0.2536,0.7986,0.0,1.0703985577054311,0.042779368827478174,alcohol,alkane
cc7d4baf3b924a409d45c92103972ca1,298.15,101.0,2,CCOCCO,0.7464,C1CCCCC1,0.2536,0.7986,0.0,1.0703985577054311,0.042779368827478174,alcohol,alkane
215b183c862c486cbee8e21fb32be997,298.15,101.0,2,CCOCCO,0.5249,C1CCCCC1,0.4751,1.069,0.0,1.5109748019404634,0.04422134190843603,alcohol,alkane
98f5eb8c50844b3188ba27948ab7ddb3,298.15,101.0,2,CCOCCO,0.5249,C1CCCCC1,0.4751,1.069,0.0,1.5109748019404634,0.04422134190843603,alcohol,alkane
15c69f0f43cf4b8c9da2ba1a0056b3c6,298.15,101.0,2,C1CCCC1,0.7559999999999999,CCCCCCO,0.244,0.4379,0.0,0.6162532848703961,0.059614182801849276,alkane,alcohol
f8f11c4116134806a7519f518e14e7e2,298.15,101.0,2,C1CCCC1,0.469,CCCCCCO,0.531,0.3752,0.0,0.4699253996062396,0.04157212574690534,alkane,alcohol
bca91b336c784f05b058459d3ea89e57,298.15,101.0,2,C1CCCC1,0.249,CCCCCCO,0.7509999999999999,0.2025,0.0,0.2401061956523165,0.05935603269324917,alkane,alcohol
15e4ca722c7149b8bb22f7d75ec24c3b,298.15,101.0,2,C1CCCC1,0.294,CCCCO,0.706,0.2667,0.0,0.30588428653619104,0.0500533560932356,alkane,alcohol
94328e9746fc4416b681f3755bffd7c8,298.15,101.0,2,C1CCCC1,0.7959999999999999,CCCCO,0.204,0.4873,0.0,0.7120553040759887,0.04352150200480319,alkane,alcohol
96f9498aca19461a8b534fca0850f163,298.15,101.0,2,C1CCCC1,0.493,CCCCO,0.507,0.4356,0.0,0.5803896269165847,0.041998643766674386,alkane,alcohol
