Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
a0a7c443cad846aa822ac62208d685d1,318.15,101.0,2,CCCOC=O,0.742,CCCCCCC,0.258,1.095,0.0,1.2957199641901695,0.04623289019191478,ester,alkane
378b89752b8341a1b70f54743dcab598,318.15,101.0,2,CCCOC=O,0.252,CCCCCCC,0.748,1.156,0.0,1.4336444883824555,0.04828803429577192,ester,alkane
79b24c3d8eb0424e8aa5e38830542dcf,318.15,101.0,2,CCCOC=O,0.493,CCCCCCC,0.507,1.469,0.0,1.7041119707911037,0.04783547999510053,ester,alkane
6e6e474d0ad74866b749d78b33d74b2d,298.15,101.0,2,CCCCCCC,0.4996,CCCOC(C)=O,0.5004,1.144,0.0,1.400669493898377,0.042627613703511875,alkane,ester
1a4164be878d480c9ff227bfc017d81b,318.15,101.3,2,CCCOC(C)=O,0.7526,CCCCCCC,0.2474,0.8282,0.0,1.0346851497576282,0.04580658116333763,ester,alkane
9f69c80ff33247019563c7137158ff45,298.15,101.0,2,CCCCCCC,0.2505,CCCOC(C)=O,0.7495,0.8456,0.0,1.0163758726951428,0.0343305793781063,alkane,ester
2ad706702e0b4ffcb3e54699014025ff,291.15,101.0,2,CCCOC(C)=O,0.4984,CCCCCC,0.5016,1.109,0.0,1.3415787840037225,0.040458047000753034,ester,alkane
0907ec85329046798b11b049abeabb27,291.15,101.0,2,CCCOC(C)=O,0.2307,CCCCCC,0.7693,0.7509999999999999,0.0,0.9794290205081637,0.04738551290642961,ester,alkane
f1635d3f7aa14f809836f68562f5cb75,291.15,101.0,2,CCCOC(C)=O,0.7361,CCCCCC,0.2639,0.8170000000000001,0.0,1.0040194678811503,0.042607874169216554,ester,alkane
39fc7a62747a4cdbb40096b17f3d5cf7,291.15,101.0,2,CCCCOC=O,0.256,CCCCCCC,0.7440000000000001,0.888,0.0,1.2705438115054477,0.045901241952781696,ester,alkane
760cd25f58aa415ab5d8f79a4348e170,318.15,101.0,2,CCCCOC=O,0.488,CCCCCCC,0.512,1.242,0.0,1.4909578695158672,0.045723933276300636,ester,alkane
d59e1636542347ecace887dd36dfeee6,318.15,101.0,2,CCCCOC=O,0.747,CCCCCCC,0.253,0.856,0.0,1.106928927760535,0.04665122348553979,ester,alkane
8a748e87950f431fad183c8dd7d2e940,318.15,101.32,2,CCCCOC=O,0.2415,CCCCCC,0.7585,0.9076,0.0,1.3191441358967637,0.05086834215434112,ester,alkane
4874707a05dd4e828c630180b455ed9b,318.15,101.32,2,CCCCOC=O,0.5104,CCCCCC,0.4896,1.1515,0.0,1.328521331527611,0.04598401811632173,ester,alkane
7c7c00b3241c46889fb054360a6d0ac6,291.15,101.32,2,CCCCOC=O,0.7406,CCCCCC,0.2594,0.738,0.0,0.9597222214412255,0.04093373156703513,ester,alkane
6cd71b18711a43a88e227bd63c14da28,291.15,101.0,2,CCCCC,0.7679,CCCCOC=O,0.2321,0.779,0.0,1.0645919308187928,0.041504367798802774,alkane,ester
fb8ca67a9beb4d69926f3afed755e407,298.15,101.0,2,CCCCC,0.24600000000000002,CCCCOC=O,0.754,0.632,0.0,0.9238447397810745,0.04081741576737255,alkane,ester
6ec1f2ddc5e545b2b29c0773b1f8077f,298.15,101.0,2,CCCCC,0.4905,CCCCOC=O,0.5095,0.959,0.0,1.3490192007702149,0.04292091779196876,alkane,ester
6ac91d8fcf334df3968ea08c5371e20c,298.15,101.0,2,CCOC(C)=O,0.7368,CCCCCC,0.2632,1.065,0.0,1.2945804934517469,0.03916453958092864,ester,alkane
a2495e77a58c43cda54d33d670bc48f7,298.15,101.0,2,CCOC(C)=O,0.495,CCCCCC,0.505,1.364,0.0,1.7110098579548492,0.04220104670170268,ester,alkane
03705d6c91084484a53d694dafbc5dff,298.15,101.0,2,CCOC(C)=O,0.2621,CCCCCC,0.7379,1.094,0.0,1.4173622213961892,0.041997942021621014,ester,alkane
55d1cd1060dc402cbc05d98dc695882f,291.15,101.0,2,CCCCC,0.5047,CCCOC=O,0.4953,1.005,0.0,1.4058623732432096,0.0376226948018706,alkane,ester
0c36cd346630405aa4375f443b3cb2fa,291.15,101.0,2,CCCCC,0.7304,CCCOC=O,0.2696,0.8809999999999999,0.0,1.2694064385855484,0.03798400602156026,alkane,ester
5cc9dda7609348ca91dc13834ab1c436,291.15,101.0,2,CCCCC,0.2335,CCCOC=O,0.7665,0.6679999999999999,0.0,0.9250062019333427,0.04020133376361297,alkane,ester
db44cdfde0244afebe2a6d52c09ee329,291.15,101.32,2,CCCOC=O,0.7533,CCCCCC,0.2467,0.8147,0.0,1.1386364231072577,0.03352269196630462,ester,alkane
612e78f4f3e3451bb7b772ebd2c74957,291.15,101.32,2,CCCOC=O,0.2656,CCCCCC,0.7344,0.9832,0.0,1.3744001226953628,0.04430103765437578,ester,alkane
262a91f23ead4b7fb65d9464abdf5930,291.15,101.32,2,CCCOC=O,0.4941,CCCCCC,0.5059,1.215,0.0,1.5284600133840769,0.04092025592850317,ester,alkane
a9015718f7c34ee6975ed7355792f21b,291.15,101.0,2,CCCOC(C)=O,0.5088,CCCCC,0.4912,1.031,0.0,1.202128808656056,0.03235091590856821,ester,alkane
ee1d66d2cc194ee89450199ced579bf5,291.15,101.0,2,CCCOC(C)=O,0.7812,CCCCC,0.2188,0.636,0.0,0.7890885231420874,0.042800496083520344,ester,alkane
4ac32f3052924b76b5a525d3919d1c85,291.15,101.0,2,CCCOC(C)=O,0.2753,CCCCC,0.7247,0.78,0.0,1.0687021173431646,0.04253786575901195,ester,alkane
