Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Environment 1,Environment 2
8c13f3346ce74bd1bb85dea04de7435c,298.15,101.0,2,CCCCOC(C)=O,0.5412,O=C1CCCCC1,0.4588,-0.20661736534333386,0.0,0.3032959813363224,0.042466090248308726,ester,ketone
62c411a6e47247bba62e0825022eedbb,298.15,101.0,2,CCCCOC(C)=O,0.7589,O=C1CCCCC1,0.2411,-0.16128837513252492,0.0,0.2223613115458105,0.04103981805403344,ester,ketone
634e67bd4c1043608ae0e01d8d8307dc,298.15,101.0,2,CCCCOC(C)=O,0.2509,O=C1CCCCC1,0.7491,-0.17499882545095602,0.0,0.233136453951477,0.039591607893015794,ester,ketone
081423719e854743902ea36de35e67b5,298.15,101.0,2,O=C1CCCCC1,0.8,C=C(C)C(=O)O,0.2,-0.20321733881927884,0.0,0.0435397246892827,0.036364151100684715,ketone,ester
2facb660d5684c99b17077d4f1f3e5d7,298.15,101.0,2,O=C1CCCCC1,0.2,C=C(C)C(=O)O,0.8,-0.10677191181565604,0.0,-0.018249170853411423,0.03780767339536789,ketone,ester
9ff3e07f3e964497aca765766e7f52f8,298.15,101.0,2,O=C1CCCCC1,0.5,C=C(C)C(=O)O,0.5,-0.25436303130062043,0.0,0.12421098212384206,0.03254624275665042,ketone,ester
499aebfde87e4c1b9568274f12e6c76c,298.15,101.0,2,CCCCOC(C)=O,0.2264,O=C1CCCC1,0.7736,0.04077288349643027,0.0,0.07046990011292242,0.035089173939039056,ester,ketone
5266605e81d54be4ba330cd2652fcacf,298.15,101.0,2,CCCCOC(C)=O,0.4995,O=C1CCCC1,0.5005,0.04305636788009082,0.0,-0.008072848772998104,0.03723482996864613,ester,ketone
7b2e339c463a4bd88adf6ec7005203fe,298.15,101.0,2,CCCCOC(C)=O,0.7264,O=C1CCCC1,0.2736,0.07839598618884125,0.0,0.02540332817806105,0.03927361312285633,ester,ketone
00266f777c084c4d973ee5fc3c77bff1,303.14,101.3,2,CCC(=O)O,0.8009,CC(C)=O,0.1991,-0.5334351380957507,0.0,-0.4572453527618124,0.02962537590395421,ester,ketone
