Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Environment 1,Environment 2
6b247b9f793f49789bb3719adc3294fb,313.15,101.0,2,C1COCCO1,0.2962,C1CCCC1,0.7038,0.6441109270928536,0.0,-0.6390124590344124,0.04796750316510249,ether,alkane
fd081764b1194a7aa0fcf81289bf2015,313.15,101.0,2,C1COCCO1,0.4983,C1CCCC1,0.5017,0.6354757478541302,0.0,-0.9221470909117383,0.03714786376583877,ether,alkane
ac2883c64b1e446bad6fd16afa370fe9,298.15,101.0,2,C1COCCO1,0.7034,C1CCCC1,0.2966,0.4588407216234032,0.0,-0.5992713184331181,0.027863070532344793,ether,alkane
409aa72fae624df3abac2cdd8a4aebc4,298.15,101.0,2,COCCO,0.4955,C1CCCCC1,0.5045,0.8932448830224402,0.0,0.6333001929614741,0.03796398052876161,ether,alkane
1c46e3acfb8b40ea9ab6abcc1003ce2c,298.15,101.0,2,COCCO,0.4955,C1CCCCC1,0.5045,0.8932448830224402,0.0,0.6333001929614741,0.03796398052876161,ether,alkane
5efb929170e74d69bcfcd533a84d5772,298.15,101.0,2,COCCO,0.2513,C1CCCCC1,0.7487,0.6950857926072871,0.0,0.6514685750798609,0.048216138766733606,ether,alkane
35c7cdb4d594456e927ba84fcf6eecb1,298.15,101.0,2,COCCO,0.2513,C1CCCCC1,0.7487,0.6950857926072871,0.0,0.6514685750798609,0.048216138766733606,ether,alkane
7b867d2f43ae4beda25466a4b2ef9529,298.15,101.0,2,COCCO,0.7493,C1CCCCC1,0.2507,0.8610388682576691,0.0,0.3977484250749422,0.03221862090301527,ether,alkane
b7d7ee3a6693402e9c10485b5c1eee5c,298.15,101.0,2,COCCO,0.7493,C1CCCCC1,0.2507,0.8610388682576691,0.0,0.3977484250749422,0.03221862090301527,ether,alkane
f88466cfb4564931ab15dea2badc91d6,298.15,101.3,2,CCCCCC,0.247,CCC(C)(C)OC,0.753,0.1680865227637156,0.0,0.013743357351862207,0.06205808410834959,alkane,ether
363fcc57e95b47baa5954edd9a241bab,298.15,101.3,2,CCCCCC,0.745,CCC(C)(C)OC,0.255,0.14555581612413704,0.0,-0.011966437774115997,0.06992370163563381,alkane,ether
d3554dfb1e764a0a95888b16fb460f19,298.15,101.3,2,CCCCCC,0.4970000000000001,CCC(C)(C)OC,0.503,0.2084783548529856,0.0,0.027721929338336053,0.05990138037499912,alkane,ether
