Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
h_mix_rho_x,Pure Density,Slope,1.0529266154011923,0.054338575030394284,0.9200339410364423,1.133572271821319
h_mix_rho_x,Pure Density,Intercept,-0.040171738739570584,0.04285310018232526,-0.10388707128839891,0.06491217300155017
h_mix_rho_x,Pure Density,R,0.9812133743337347,0.007907774797582626,0.9637620190665664,0.9937307171500986
h_mix_rho_x,Pure Density,R^2,0.9627796859713937,0.015463673172741091,0.9288372293952648,0.9875007382076494
h_mix_rho_x,Pure Density,p,3.2502377739436296e-17,6.371882163557217e-13,2.0851155506927397e-22,4.267643355429026e-14
h_mix_rho_x,Pure Density,RMSE,0.022230468387523867,0.0028105670599493228,0.016209597260787,0.027312789351753505
h_mix_rho_x,Pure Density,MSE,0.0034881827144180124,0.004400916157920035,-0.005005368757035227,0.01221647227051989
h_mix_rho_x,Pure Density,MUE,0.0171740051034512,0.002864597869781981,0.011755532065806776,0.02303980152018299
h_mix_rho_x,Pure Density,Tau,0.8478260869565217,0.08414166306430712,0.6098719530301586,0.9412782579102859
h_mix_rho_x_rho_pure,Pure Density,Slope,1.0494526107698383,0.04998242231947259,0.9221391259430444,1.1194655529713622
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.03724924138948882,0.03963456757838929,-0.09409672361779886,0.0638092221242631
h_mix_rho_x_rho_pure,Pure Density,R,0.9835637330859894,0.006409144505774435,0.9695933641213207,0.9942103615631943
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9673976170420475,0.012580497772811524,0.9401112917480999,0.9884542430396176
h_mix_rho_x_rho_pure,Pure Density,p,7.553141559678695e-18,1.6541280078858772e-14,8.407146075262349e-23,6.183826962893789e-15
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.020741545905303974,0.0025632867191978845,0.015573903845026464,0.02542241638558795
h_mix_rho_x_rho_pure,Pure Density,MSE,0.003544923994779713,0.00416500791778163,-0.004811263932187036,0.011436369919903405
h_mix_rho_x_rho_pure,Pure Density,MUE,0.016598969614997742,0.0025748669752755334,0.011807558622802925,0.021763621499350336
h_mix_rho_x_rho_pure,Pure Density,Tau,0.8478260869565217,0.07624979867464476,0.6446036254878612,0.9448102712875861
