Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x,Pure Density,Slope,1.2449001132083806,,1.0619081775353827,1.387739934818116,ester
h_mix_rho_x,Pure Density,Intercept,-0.2128065431360151,,-0.34153115502768505,-0.051738635419804946,ester
h_mix_rho_x,Pure Density,R,0.9984829229027878,0.038668721450813674,0.9965457422844463,0.999997777340949,ester
h_mix_rho_x,Pure Density,R^2,0.9969681473284946,0.03866255860978194,0.993103416465258,0.9999955546868381,ester
h_mix_rho_x,Pure Density,p,7.09163675191856e-05,0.038698490042413554,4.1265698244895585e-09,0.00024447716766257805,ester
h_mix_rho_x,Pure Density,RMSE,0.02267505111082865,0.007843729365848304,0.001249762159875978,0.033401283142227546,ester
h_mix_rho_x,Pure Density,MSE,0.014835948894797535,0.007667936566088497,0.0006138483193805389,0.029810607842722315,ester
h_mix_rho_x,Pure Density,MUE,0.01486157631761047,0.007638146011403986,0.0007436598702343034,0.029869270892211232,ester
h_mix_rho_x,Pure Density,Tau,0.9999999999999999,,0.6324555320336759,0.9999999999999999,ester
h_mix_rho_x,Pure Density,Slope,1.0940380947902089,,0.783149351550996,1.2437765685352031,ether
h_mix_rho_x,Pure Density,Intercept,-0.05895719739889571,,-0.2042832332178275,0.17793692085410096,ether
h_mix_rho_x,Pure Density,R,0.9979407278096705,0.11737948311679942,0.9959523980214476,0.9999998787487876,ether
h_mix_rho_x,Pure Density,R^2,0.9958856962212949,0.11728205051871785,0.991921179124672,0.9999997574975898,ether
h_mix_rho_x,Pure Density,p,0.0020592721903295312,0.11737948311679942,1.274439023202334e-07,0.004050689245431504,ether
h_mix_rho_x,Pure Density,RMSE,0.02484674364380287,0.008562592720927634,0.010119402393684435,0.03962997591712219,ether
h_mix_rho_x,Pure Density,MSE,0.020044441129595747,0.007116786874024148,0.010058341454152991,0.03677635214844749,ether
h_mix_rho_x,Pure Density,MUE,0.020044441129595747,0.007116786874024148,0.010058341454152991,0.03677635214844749,ether
h_mix_rho_x,Pure Density,Tau,1.0,,0.7071067811865477,1.0,ether
h_mix_rho_x,Pure Density,Slope,0.11950917671745258,0.7000327386520337,-0.7557037006871175,0.9726840668608678,alcohol
h_mix_rho_x,Pure Density,Intercept,0.7074364184248373,0.5503274953046158,0.028830281413665393,1.4041687769534852,alcohol
h_mix_rho_x,Pure Density,R,0.1264131963335248,0.40808937945823387,-0.797045941621219,0.8466848791080056,alcohol
h_mix_rho_x,Pure Density,R^2,0.01598029620725829,0.22645556135704328,0.00015457004789732947,0.88534331365513,alcohol
h_mix_rho_x,Pure Density,p,0.7871049058448897,0.30336179763331983,0.0016204751720777248,0.9794743813024857,alcohol
h_mix_rho_x,Pure Density,RMSE,0.016247812313770774,0.004654885933465112,0.005706365117606814,0.02407523163000297,alcohol
h_mix_rho_x,Pure Density,MSE,0.01099937174036709,0.004477569119544058,0.0028566615881151663,0.020452531971703825,alcohol
h_mix_rho_x,Pure Density,MUE,0.011401550579863393,0.004338487544792,0.0036182984288090714,0.020705334093708543,alcohol
h_mix_rho_x,Pure Density,Tau,-0.14285714285714288,0.341209549672241,-0.816496580927726,0.50709255283711,alcohol
h_mix_rho_x,Pure Density,Slope,0.9748027866511048,,-2.5628330972695768,,ketone
h_mix_rho_x,Pure Density,Intercept,-0.01316824745837708,,-0.037996870518238524,,ketone
h_mix_rho_x,Pure Density,R,0.9988191326749024,0.831216807646848,-0.9999614788502713,0.9999999876346457,ketone
h_mix_rho_x,Pure Density,R^2,0.9976396597974443,0.30932519862981095,0.0,0.9999999752692915,ketone
h_mix_rho_x,Pure Density,p,0.030941290259973803,0.30535761751130813,0.00010140127412707008,1.0,ketone
h_mix_rho_x,Pure Density,RMSE,0.0359447826570292,0.0021324503603332014,0.03297428696994836,0.040806011971666126,ketone
h_mix_rho_x,Pure Density,MSE,-0.03576418449184356,0.0020879070612843456,-0.04078988907620318,-0.032972234979231074,ketone
h_mix_rho_x,Pure Density,MUE,0.03576418449184356,0.0020879070612843456,0.03297275962645515,0.04080567782093062,ketone
h_mix_rho_x,Pure Density,Tau,0.33333333333333337,,-0.816496580927726,,ketone
h_mix_rho_x,Pure Density,Slope,0.9697534457378316,,0.6407344926011239,1.9784827386443207,alkane
h_mix_rho_x,Pure Density,Intercept,0.01348383772301176,,-0.6581576694163904,0.26353188387613763,alkane
h_mix_rho_x,Pure Density,R,0.9671399101059842,0.18108972162069886,0.9064005633728064,0.9999955766175291,alkane
h_mix_rho_x,Pure Density,R^2,0.9353596057198112,0.061991485980009954,0.8255915173303907,0.9999911532546246,alkane
h_mix_rho_x,Pure Density,p,0.007115160309030013,0.03942688655873189,1.127326440671139e-08,0.03271596517707037,alkane
h_mix_rho_x,Pure Density,RMSE,0.014808071884104336,0.0016496222406868642,0.011033480946424494,0.017422311048374953,alkane
h_mix_rho_x,Pure Density,MSE,-0.00806883451067546,0.005623245001951877,-0.017024154397392334,0.004353416283879819,alkane
