Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
0219bb60f1384162ae5cf426d5c62897,298.15,100.0,2,CCO,0.5,CCOC(C)=O,0.5,1.238,0.0,1.061319270970463,0.0328477757495267,0.031216080010408646,0.03571428571428571,1.5943650773897426,0.00043857592461516023,0.09727397493010481,-0.01673780314176027,0.052371936730975614,-0.01068976505027168,-0.020418085701247413,-0.0446349880690631,0.009247071454445062,-0.002877805015504786,0.012316914475125779,0.013554381178036175,0.004548556777220625,-0.0074555022637814074
4a8731eb6e6e49b594d414f74b12b8b5,298.15,100.0,2,CCO,0.75,CCOC(C)=O,0.25,0.8590000000000001,0.0,0.7143442679157292,0.03413661555592337,0.020925280824836346,0.03571428571428571,1.5943650773897426,0.00029399349253732076,-0.0010758497030036007,0.006377564455869754,-0.031125051891109128,-0.009232591001268484,-0.026434657927368616,-0.03641313178711378,-0.006798749380569669,-0.004353735078744636,0.012164397046126733,0.022645372529526628,-0.00362118730042077,-0.008230024384474057
6815b6c324ba4a60af4f5a2810c3d161,298.15,100.0,2,CCO,0.25,CCOC(C)=O,0.75,1.048,0.0,0.8881999727231396,0.03669984085356546,0.025536048717685358,0.03571428571428571,1.5943650773897426,0.00035877330445213776,0.09509860570472517,-0.005789092060686268,0.013317757100766542,-0.021668747254348614,-0.02953130414651859,-0.055083850808244524,0.007935150902023002,-0.002352890505283073,0.016594865040609075,0.021232907203068353,0.005004594940095975,-0.0042111371419215815
29f866d5189843bfb234ffd5615e4eb3,298.15,100.0,2,COC=O,0.5127,CO,0.4873,1.179,0.0,0.930274952112768,0.02737102665844983,0.061864149446505874,0.03571428571428571,1.5943650773897426,0.000869171482613604,,,-0.006104354767102049,0.011275819058793596,-0.04924690475650202,-0.053645365906574774,0.007215765111662064,-0.007599806446824221,0.027311527164932046,0.031057369424833055,0.018428532565264544,0.016484515537336146
75ed99b695464d8fa3bda7321d22c62a,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.311,0.0,0.3424137350474563,0.030341607789530566,0.0009868227496317853,0.03571428571428571,1.5943650773897426,1.3864543520734308e-05,,,-0.006682989611724164,-0.002472824839830676,-0.0037073291144480605,-0.004179135789891792,-0.00041503193424613234,0.0006111098434924914,-0.0018540218903251792,-0.0019581922396733286,-0.0006367822358251648,7.773092257797257e-06
803b687287d948a7b556626c2d8adcec,298.15,100.0,2,COC=O,0.7178,CO,0.2822,1.105,0.0,0.7779088310464672,0.030627243666142338,0.1069886328073885,0.03571428571428571,1.5943650773897426,0.0015031560189865754,,,0.008810107236706985,0.03160015186476067,-0.042601844584564404,-0.04117071892842398,-0.007280950457040722,-0.0036803336320686514,0.048217183875253956,0.09250084598854276,0.02655337027153161,0.04214941672296031
d88dc02ee80a420c9b3db8f66e3fb024,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)CO,0.2492,1.9069999999999998,0.0,1.6432933382235433,0.05434866101184812,0.06954120346528243,0.03571428571428571,1.5943650773897426,0.0009770316323660002,-0.6244127537095759,-0.040557549089687873,0.05078186780990334,0.04671001271639025,-0.05688241607350605,-0.09689099810602017,0.04472737789915673,0.01235565168400259,0.0693475899085712,0.09081161952944249,-0.0026101791205574523,-0.025798316872964154
91900f1264324798a800be9afb32bb1c,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2484,CC(C)CO,0.7516,2.053,0.0,2.0030637072291526,0.04603346135944355,0.0024936333356957788,0.03571428571428571,1.5943650773897426,3.5034749574235394e-05,-0.07884426999452615,-0.013088877590774092,0.002687156074156549,-0.006492728403757797,-0.014782511134103962,-0.031028622150570104,-0.004703517077542668,-0.003906547805533767,0.0021237411001733654,0.0010400780135389317,0.0009009877680691066,-3.980698839167097e-06
51cbf827abd44801b5a8fdaa5d6044df,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.4981,CC(C)CO,0.5019,2.542,0.0,2.4536966713288777,0.047217143469065526,0.007797477854400217,0.03571428571428571,1.5943650773897426,0.00010955206606721672,0.1526025979362976,0.01112902428923093,0.011160032703253709,0.004321686840863465,-0.043473011187852365,-0.08334038810191889,0.01009493106463367,0.004845318505843649,0.015195123024505541,0.02609289919381479,0.0021472875947969256,6.065672870132339e-06
1f8a23041aa24ffea27ba6badff5582e,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)O,0.2492,1.804,0.0,1.7158008686635355,0.0615666009247839,0.007779086768506915,0.03571428571428571,1.5943650773897426,0.00010929367720168195,-0.06489105301224694,0.025019020665064753,-0.012619042291276096,0.04715300404941243,-0.010618192928589542,-0.019141691063291038,0.03356266053449823,0.03311018690799032,0.022761258701139202,0.06593203183484668,0.007167120942639697,0.022938885666967033
