Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
5447e6c987ea4049b228061950137ec1,298.15,100.0,2,CCO,0.5,CCOC(C)=O,0.5,1.238,0.0,0.024432740629070082,0.033804016722332624,1.4727454930170698,0.03571428571428571,1.5943650773897426,0.02069160240835492,0.40497552861366926,0.011559808015919161,0.08341015412482759,0.04875968035455465,-0.26047975820748576,-0.3703665796312051,0.1290898477196709,0.02155471664634283,0.21990233956624536,0.3517133771349484,0.11125351660112533,0.04892835113503971
19f88e6ef96f4c44afb7d580ff19d6cf,298.15,100.0,2,CCO,0.75,CCOC(C)=O,0.25,0.8590000000000001,0.0,0.01261011231495246,0.03336157271442137,0.7163758419755075,0.03571428571428571,1.5943650773897426,0.010064851101150773,0.059756841933273935,-0.02416678636017618,0.07380517799970138,0.00558557218129608,-0.02678972369760794,-0.062049956341504085,0.06459313582865418,0.022796845458035404,0.07490498162308751,0.11931287038097939,0.012373658579734709,-0.022697316432120206
f250474355294137a1a4e8d9c5bb1455,298.15,100.0,2,CCO,0.25,CCOC(C)=O,0.75,1.048,0.0,-0.0184213659038015,0.03883652496010935,1.1372545296561298,0.03571428571428571,1.5943650773897426,0.015978061841858626,-0.03983118436154865,-0.25984389374694455,0.6296883961266897,0.1166157790295751,-0.0941145074475992,-0.1675679260198827,0.2453881562299267,0.0553427176225155,0.16451793885064311,0.14830807411632654,0.1473416668487544,0.036952624426759444
d3eff08bc7904bdbb7f7ba8f2ddad018,298.15,100.0,2,COC=O,0.5127,CO,0.4873,1.179,0.0,0.2772288817294317,0.023036483311127325,0.8131911497469513,0.03571428571428571,1.5943650773897426,0.011425075162230965,,,-0.0765306703811306,-0.049549867818227455,-0.15709154545948914,-0.19615817034740715,-0.04287008152487986,-0.05337712887904992,0.09874738976444841,0.11315461594586061,0.004584206502345735,-0.007187364897078221
c70cad53268440abbf8cee7aee36dd30,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.311,0.0,0.08300104983060663,0.030359861532474615,0.05198352127834552,0.03571428571428571,1.5943650773897426,0.0007303518219392144,,,0.008438691752725337,-0.0029036596016933885,0.00648258357685791,0.015593094525181973,-0.0001617558475747432,-0.004527817277650048,0.010576763165174159,0.010807215596781392,0.004135358107351226,0.0014149974661774169
ee767df45c9349a78378a8b4927e5fc2,298.15,100.0,2,COC=O,0.7178,CO,0.2822,1.105,0.0,0.153229213900417,0.031165640211663872,0.9058676292726181,0.03571428571428571,1.5943650773897426,0.012727150012260007,,,-0.025127497736272514,-0.013910128891143379,-0.20937696189849167,-0.32919424250265444,0.0580879751871113,0.024804416299168273,0.04814461104372435,0.03451978484907754,0.010525334246282145,0.004752793504058838
9a2b14294f174bbf8c254a1742b414d5,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)CO,0.2492,1.9069999999999998,0.0,1.1391925302051504,0.05761307374988703,0.5895283106727686,0.03571428571428571,1.5943650773897426,0.008282683919759027,-0.4412351215071451,-0.08697737329357769,0.01261896220185575,0.02075402255456141,-0.10286031988347422,-0.1598846264669051,0.009710657303486624,-0.037100962843543764,0.06479355958479947,0.1389699015278524,0.1102662255407937,0.07796008197611501
b8f56130070745f49616fe212cf93719,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2484,CC(C)CO,0.7516,2.053,0.0,1.3748909046760929,0.05377783928763122,0.45983194516100767,0.03571428571428571,1.5943650773897426,0.006460491530305266,0.7386081502612923,0.14360966210373985,0.07505196713257913,0.12338356541260499,-0.14375396620767622,-0.1984445456427292,0.121641607483492,0.06030181504327011,0.08086595159357095,0.08726548112122812,0.06577881854968674,0.0713928470081357
ee02d25a5f334e99a9eb14185795b8c8,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.4981,CC(C)CO,0.5019,2.542,0.0,1.70257908437668,0.057904935866911776,0.7046274735858927,0.03571428571428571,1.5943650773897426,0.00989979028866321,-0.3593493386040639,-0.001969926852492314,-0.2580180956587563,-0.09697105985453452,-0.19725549309036525,-0.35789315296771496,-0.1725972307079091,-0.052297454813541054,-0.05446366768860591,0.01608801394455101,-0.059546942684484974,0.0013545353823526923
aa54d742af7c4b30995b2bdef1e368fa,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)O,0.2492,1.804,0.0,1.0811651021635384,0.049719804027906406,0.5224902895302479,0.03571428571428571,1.5943650773897426,0.0073408211971766855,0.4843253530558701,-0.03156424625407278,0.31458105457335267,0.14498424635565071,-0.1396162531425785,-0.2917998337264242,0.20370591305503374,0.10030084408378231,0.1663190970616788,0.19628178777930533,0.10117989136340066,0.15078842412252266
4df7af86a15d477f9fbb5178968a4f2c,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.5003,CC(C)O,0.4997,2.369,0.0,1.5580707888832137,0.04462372171041968,0.6576061854424937,0.03571428571428571,1.5943650773897426,0.009239156252704472,0.628571226618054,0.08164521847506165,-0.04309236796071753,0.005486559408804379,-0.19222575743730735,-0.3525592653102623,-0.05283386944489813,-0.06101657947553894,-0.031569474644145425,-0.08110882264936808,-0.06249805146572369,-0.09540098759030938
c2156cf349e84a3aafe91a22a938d686,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2494,CC(C)O,0.7506,1.955,0.0,1.4235961512832631,0.040432915076852684,0.28239005043096066,0.03571428571428571,1.5943650773897426,0.003967489749788702,1.657496968374794,0.11595186857943544,0.3644939047843031,0.11410217707958069,-0.1771877818838377,-0.37272194494466937,0.0390515084527808,-0.0037034971711674696,0.081089278490657,0.09292791429749966,0.023612295224342855,-0.0055386014294742
69129fd1c84247b9ba025c85928a471d,299.15,101.32,2,CC(C)(C)O,0.2279,COC=O,0.7721,1.811,0.0,0.9644261987332783,0.034077451664018564,0.7166872009911868,0.03571428571428571,1.5943650773897426,0.010069225595582593,-0.14260205518923333,-0.08553775903933968,0.33696379257801234,0.015199233126530995,-0.07159304123151028,-0.21585045316713605,0.07701944764048727,-0.04822427739435116,0.1255086565856532,0.0673500264494588,0.07094560808275226,-0.03636507481312685
731ef54e13ee4d9797f95387396bacb6,299.15,101.32,2,CC(C)(C)O,0.4967,COC=O,0.5033,2.4856,0.0,1.4447462668736897,0.03795665897309086,1.083376493762976,0.03571428571428571,1.5943650773897426,0.015221092696456332,-0.567550827791183,-0.2117110010727863,0.5188152745277324,0.0835979263228521,-0.19404453556550438,-0.5047394023413757,0.09447009118922542,0.006179121825821498,0.1414029025588302,0.15392629135045238,0.06939533343343085,0.01863721340450127
4df6daffbe324a8da57731b9c86f3175,299.15,101.32,2,CC(C)(C)O,0.7127,COC=O,0.2873,1.8888,0.0,1.2263902125482318,0.04258638300325964,0.4387867265118968,0.03571428571428571,1.5943650773897426,0.006164812949756895,0.3546022735937602,-0.039776722548520896,0.22075306166486894,0.011957237669892293,-0.09695623514591527,-0.2326475692763903,-0.0017336321980357396,-0.033862577065106106,0.05897911486743872,0.06762535474978139,0.02218651732148268,-0.004470790071747777
204f964c7fd44eaea81f1c18d0b01fcf,299.15,101.3,2,CC(C)(C)O,0.4947,CCCCOC(C)=O,0.5053,1.8338,0.0,0.5633300960320611,0.04802413996271929,1.6140937768883041,0.03571428571428571,1.5943650773897426,0.022677500518268855,-1.9873857982627503,-0.3510846925212242,0.352624511000123,0.13486993080480622,-0.1995608759180862,-0.5523032889658211,-0.07745989670211884,-0.047192137699295214,0.13738028393006183,0.2928313366511159,-0.05302309016507251,-0.07084447446545923
e9dd6980c5d6491e9118b3bc1228c00c,299.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,1.3567,0.0,0.43916698120436815,0.0451558667936079,0.8418668405802253,0.03571428571428571,1.5943650773897426,0.011827959432677101,-0.24314980597220004,-0.21644018849070587,0.5111520292246993,0.1619513807719033,-0.008818265232148277,-0.08224039161853147,-0.04315967981008182,-0.009291420018283508,0.2088025748055373,0.3607562072098668,-0.022797286018873184,-0.001001784810100978
770aa8088ca64d9bbda3d51b4807c75b,299.15,101.3,2,CC(C)(C)O,0.7354,CCCCOC(C)=O,0.2646,1.3646,0.0,0.47126975169652496,0.04961997467733282,0.7980389325339484,0.03571428571428571,1.5943650773897426,0.011212191364138873,-1.9037082413814115,-0.31959886144477756,0.2935374837156537,0.08910145670206904,-0.24527756326931455,-0.5823121640138715,0.011197529938954181,-0.013000192730342912,0.09874419710298524,0.14515641565168624,0.023226551232426618,0.011841695448128268
d864f5134efd465f8e98cc7c758a6ae1,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2507,CCO,0.7493,1.446,0.0,0.962841240686835,0.03998188065421889,0.2334423867010369,0.03571428571428571,1.5943650773897426,0.0032797907539203787,-0.307412032445424,-0.03518862894003159,0.003773298077992431,0.03508615239256545,-0.04760426169135844,-0.08556703815361474,0.017398901329510573,0.00979775420286201,0.08851334434663752,0.16102695213521398,-0.012893108733464172,-0.015192373364948846
ddc4ccd3c05244f2927da1d635e7255b,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.4985,CCO,0.5015,1.848,0.0,1.1839332511930536,0.046130409757579545,0.4409846468710282,0.03571428571428571,1.5943650773897426,0.006195693026736936,-0.7263626410081117,0.01631360011085312,-0.28920585117797976,2.4835069553881818e-05,-0.3068629053569051,-0.5009446149555736,-0.05507266353012608,0.0032450791404003997,0.046524862004131584,0.13508784843965968,-0.006538352877687354,0.038787711260565017
b2b4b7657d8046e385ec0246156a26c0,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7465,CCO,0.2535,1.473,0.0,0.8351980184895922,0.052710983673302854,0.4067913676186027,0.03571428571428571,1.5943650773897426,0.0057152884064657,0.5976224410283866,0.2611378085199195,-0.3016578392904012,0.022054051512502663,-0.10270494389924915,-0.14504941454275733,-0.2081560823391441,-0.1036036993717262,0.08197545869225434,0.1968210734354576,-0.10131959007830231,-0.0678661291286601
3b254a7406674f4eaa9428c0dc5877b9,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,2.325,0.0,1.5475658467137379,0.04560537195253679,0.6044038626959276,0.03571428571428571,1.5943650773897426,0.00849168066055872,0.6883011544210758,0.005515790346246247,0.322154611196356,0.14385932274175067,-0.4108070884726487,-0.7536440263753122,0.007117033178563236,0.016147744728905195,0.05781185622184488,0.10389441047628674,0.020790949906737348,0.03452511390172657
d2dccc318ddc437dbb9fdd061fa7cb60,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7490000000000001,CCCCO,0.251,1.784,0.0,1.0708986129438927,0.05630601277879667,0.5085135882213443,0.03571428571428571,1.5943650773897426,0.007144453020981008,0.423211376712835,0.1322571345928747,-0.38642134894105296,-0.15225293113389762,-0.10920505736980832,-0.2379107918696726,-0.25072550723135245,-0.08902516714287168,-0.060385718018827056,0.0973998942242785,-0.07761197043954798,-0.0220001701686168
5c14f575162e400492934e74a65f8881,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2499,CCCCO,0.7501,1.834,0.0,1.4279963011682746,0.048929543051711356,0.16483900346504246,0.03571428571428571,1.5943650773897426,0.002315935195361392,0.12960430636592438,-0.058438423612772454,0.196066066019239,0.022204090321087184,-0.05638234391493341,-0.13532629009752314,0.050765010917003604,0.010107942838553501,0.02863953980528694,0.03975604663457827,0.028989406950256976,0.004373627067840414
6b51a011c0454beda054664daef20d67,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2515,CO,0.7485,1.083,0.0,0.4349749470951778,0.03416382530778729,0.41993646919229755,0.03571428571428571,1.5943650773897426,0.00589997287277028,-0.03055168910418834,-0.020532516088470548,0.06393551814068561,0.024604331083851527,-0.22667407454379118,-0.4122780405335626,-0.020919366878243185,-0.0182447844883771,0.031744884888474864,0.04103753030279788,0.025728704841753325,0.03791297201832579
