Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1,Environment 2
0219bb60f1384162ae5cf426d5c62897,298.15,100.0,2,CCO,0.5,CCOC(C)=O,0.5,1.238,0.0,0.9405471142195836,0.0342218410587737,0.08847821925909745,0.03571428571428571,1.5943650773897426,0.0012430906381237698,-0.2799314891463736,-0.012523095735936214,-0.07359081096463296,-0.01700160843246673,-0.02123324489397459,-0.013886937738973829,-0.008506806980872523,-0.009480299765515529,0.02866563069235618,0.04364182029848091,-0.014379581427187841,-0.024682208621984753,alcohol,ester
4a8731eb6e6e49b594d414f74b12b8b5,298.15,100.0,2,CCO,0.75,CCOC(C)=O,0.25,0.8590000000000001,0.0,0.665288521352517,0.034367700699853516,0.037524136959794285,0.03571428571428571,1.5943650773897426,0.0005272021040771367,-0.04920924271131949,-0.009460800574605875,0.0025191050050465806,-0.011748193308350318,-0.07137146070392864,-0.14017404678409193,-0.0005630121579732015,-0.003685234329116406,0.016610811327470554,0.026621640280712983,-4.0583465351643776e-05,-0.004907267843094476,alcohol,ester
6815b6c324ba4a60af4f5a2810c3d161,298.15,100.0,2,CCO,0.25,CCOC(C)=O,0.75,1.048,0.0,0.6582344038542658,0.03856852476123424,0.1519172199388396,0.03571428571428571,1.5943650773897426,0.0021343882760880015,0.1335109195952052,0.002338298609564998,-0.015025646139623686,-0.025703909127372873,-0.034962958210609796,-0.06542995063050713,0.02602542564594925,0.013157401756072686,0.020172459537647392,0.033434936195215134,-0.009788769095495255,-0.026746282952239433,alcohol,ester
29f866d5189843bfb234ffd5615e4eb3,298.15,100.0,2,COC=O,0.5127,CO,0.4873,1.179,0.0,0.8222095052284324,0.027742511385241246,0.12729945715934005,0.03571428571428571,1.5943650773897426,0.0017885165949103634,,,0.011293412026483696,-0.004639302940483871,-0.03411242640758005,-0.02487383108801096,0.03456430387544714,-0.015209611545696772,0.0490892045089606,0.024825332836923474,0.03481024009585967,0.013795217975310322,ester,alcohol
75ed99b695464d8fa3bda7321d22c62a,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.311,0.0,0.2549252064671137,0.028404286577694227,0.0031443824697558274,0.03571428571428571,1.5943650773897426,4.4177566451554276e-05,,,-0.0039677197722759565,-0.002858805705955811,-0.01378983976442298,-0.021054777093614013,0.0010809533214141541,-0.0012594821879572725,0.0027481441705604326,0.0020775742693469085,0.0004272002005112024,-0.001674005452318361,ester,alcohol
803b687287d948a7b556626c2d8adcec,298.15,100.0,2,COC=O,0.7178,CO,0.2822,1.105,0.0,0.7242991964204606,0.03153835151618521,0.14493310184610703,0.03571428571428571,1.5943650773897426,0.0020362636541264895,,,-0.020327656291650745,0.000975014670311924,-0.04935386794463623,-0.05187349487872084,-0.01979218427734936,-0.0318257319404249,0.013503912992620276,-0.0047898960612430905,0.027752302210447014,0.021078003468402582,ester,alcohol
d88dc02ee80a420c9b3db8f66e3fb024,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)CO,0.2492,1.9069999999999998,0.0,1.5228978136079832,0.06391498028525136,0.1475344895911275,0.03571428571428571,1.5943650773897426,0.0020728123186344763,-1.1606527711396308,-0.11652779828408785,-0.16467787894452876,-0.0707675544246853,-0.041096903722741246,-0.08132136683128226,-0.16845702598635376,-0.09665269990394619,0.011099279930330004,0.039513727097522086,-0.12514739221261734,-0.17455935664270728,ester,alcohol
91900f1264324798a800be9afb32bb1c,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2484,CC(C)CO,0.7516,2.053,0.0,1.9651425677039551,0.04954738513478703,0.007718928409654098,0.03571428571428571,1.5943650773897426,0.00010844847153048919,-0.003646622985453331,-0.010709325004069292,0.05234406277225738,0.014351269237441778,-0.020781961005119375,-0.0463705851030999,0.005033012675739635,-0.0013482842209502255,0.010986212617694273,0.011940280394053853,-0.0003413635303742141,-0.004502232225571874,ester,alcohol
51cbf827abd44801b5a8fdaa5d6044df,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.4981,CC(C)CO,0.5019,2.542,0.0,2.3684175432064336,0.054814178807170745,0.03013086930649028,0.03571428571428571,1.5943650773897426,0.0004233290618535781,-0.6026494937184361,-0.09132581699086798,0.028338685110922347,-0.018848563652830067,-0.04064011739247804,-0.06542769194835654,0.03599100297121216,0.01474975105812587,0.012978405610269783,0.009238673485003618,0.01144049643675475,0.0041027847548639725,ester,alcohol
1f8a23041aa24ffea27ba6badff5582e,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)O,0.2492,1.804,0.0,1.5913488658102324,0.05998251290247936,0.045220504872194575,0.03571428571428571,1.5943650773897426,0.0006353336078480746,-0.5368633959132397,-0.05493729976819495,0.03901328873225118,0.035023054164879476,-0.008411030279591482,-0.01211916949705249,-0.05660409800326022,-0.04137365837568952,0.05091938399824286,0.06439221605399156,-0.012438603012650684,-0.027965042785811366,ester,alcohol
