Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1,Environment 2
0219bb60f1384162ae5cf426d5c62897,298.15,100.0,2,CCO,0.5,CCOC(C)=O,0.5,1.238,0.0,0.9021295997591352,0.03422310700384373,0.1128089257579587,0.03571428571428571,1.5943650773897426,0.0015849292705119521,0.11079639099582303,-0.00894699767477594,0.06905815356978759,0.01670806040633598,-0.08171433675500153,-0.14686997968273308,0.07093950421807649,0.021848942121128805,0.046338688883795234,0.05808297814387198,0.02333026082028204,0.006840470131139158,alcohol,ester
4a8731eb6e6e49b594d414f74b12b8b5,298.15,100.0,2,CCO,0.75,CCOC(C)=O,0.25,0.8590000000000001,0.0,0.7058682178579456,0.03497563247505761,0.023449342702001632,0.03571428571428571,1.5943650773897426,0.000329455753371946,-0.006792687477923324,0.028141441673271254,-0.05741430447544313,0.002163723276284551,-0.050081880151219484,-0.07411391235929464,0.0009796502411607631,0.0009962147989566906,0.0027203924079019226,0.010048216905896062,0.004469618198540264,0.003869795457359926,alcohol,ester
6815b6c324ba4a60af4f5a2810c3d161,298.15,100.0,2,CCO,0.25,CCOC(C)=O,0.75,1.048,0.0,0.753637855555187,0.040628832544995566,0.08664907208214896,0.03571428571428571,1.5943650773897426,0.0012173917062232907,-0.5554773113779583,-0.029770784598022997,-0.12392295574568153,-0.028277119928799322,-0.04859509567055203,-0.06089339110542724,-0.019345978084560705,-0.0164317111546566,0.008846191178864938,0.025124553829289964,-0.01819287889138835,-0.03645616727483788,alcohol,ester
29f866d5189843bfb234ffd5615e4eb3,298.15,100.0,2,COC=O,0.5127,CO,0.4873,1.179,0.0,0.8905306110691029,0.02898045152406837,0.0832145883501652,0.03571428571428571,1.5943650773897426,0.0011691383099663537,,,-0.028115544274302257,-0.028778421935979192,-0.06573349088868864,-0.09396587760003451,0.02351183599019484,0.00556785922443906,0.013530470210955513,0.007687970893362006,0.018568651469162357,0.011669978949592803,ester,alcohol
75ed99b695464d8fa3bda7321d22c62a,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.311,0.0,0.29760736032345214,0.02763387776347237,0.00017936279750584388,0.03571428571428571,1.5943650773897426,2.519989849188545e-06,,,0.0014038870498292132,-8.87664522197396e-05,-0.0003591236883117806,-0.0009596822846297346,0.0002839842668282246,-0.0001782978131600664,0.0005586006312299174,0.0005256888708665948,0.00030137693773396064,1.8105281506465718e-05,ester,alcohol
803b687287d948a7b556626c2d8adcec,298.15,100.0,2,COC=O,0.7178,CO,0.2822,1.105,0.0,0.7273389770602563,0.03115328648937586,0.1426278482478936,0.03571428571428571,1.5943650773897426,0.002003875579519692,,,-0.07883649622847907,-0.03190480142945948,-0.04690654975363956,-0.05127709997618483,-0.051919979476934365,-0.03087638934681017,-0.02007428986223859,-0.03730044261259645,0.0022605786008548846,0.004050149283010986,ester,alcohol
d88dc02ee80a420c9b3db8f66e3fb024,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)CO,0.2492,1.9069999999999998,0.0,1.7023140799691419,0.06790390268716483,0.04189632585887877,0.03571428571428571,1.5943650773897426,0.0005886299575542144,-0.2518436874773404,-0.040244331317039715,0.011552093385784862,-0.0024772049876119816,0.005198434905565878,0.014501064578439589,0.03776407623201582,0.013026171341673012,0.04734514372632083,0.06912174197668605,0.008731158272093207,0.004487052435904707,ester,alcohol
91900f1264324798a800be9afb32bb1c,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2484,CC(C)CO,0.7516,2.053,0.0,2.0366888726863053,0.04899446371316651,0.00026605287424355604,0.03571428571428571,1.5943650773897426,3.737957657687367e-06,0.0031705408261347066,-0.00035288023674292336,-0.0015062461632372388,-0.002421948257720107,-0.0009684487829349144,-0.002330678338674497,-0.0004158966081289441,-0.0008286271715063497,4.279967762196606e-05,-0.0008676517055714555,0.00029555193522068845,5.212786616320047e-05,ester,alcohol
51cbf827abd44801b5a8fdaa5d6044df,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.4981,CC(C)CO,0.5019,2.542,0.0,2.4074230377675576,0.06025903960197429,0.018110958763712173,0.03571428571428571,1.5943650773897426,0.0002544531690979006,-0.43152255042152404,-0.018663719469028485,-0.10463984377477499,-0.029351421493598144,-0.008494748740359721,-0.005016383296731023,-0.017860267382148215,-0.018813988537224973,0.0071616428767664435,-0.0014691835414738727,-0.013805688552858249,-0.023649979907092687,ester,alcohol
1f8a23041aa24ffea27ba6badff5582e,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7508,CC(C)O,0.2492,1.804,0.0,1.680209953370479,0.049266115769475,0.015323975644538978,0.03571428571428571,1.5943650773897426,0.0002152969490353346,-0.4407347467370478,-0.03624758761449764,-0.0647628048214399,-0.018270023298521114,-0.030358989917921037,-0.05474417619368558,-0.0171813014261965,-0.003617894598457794,0.013442549257112085,0.02891061778197317,-0.020205932787795377,-0.019087257199743468,ester,alcohol
0253bd2ba93141f7ba95f1f5d171629d,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.5003,CC(C)O,0.4997,2.369,0.0,2.258851040574825,0.04633339615703078,0.012132793262448848,0.03571428571428571,1.5943650773897426,0.0001704618588070255,-0.06185957600135681,0.0005720445874248471,-0.03503476290099571,-0.015438303316040016,-0.008265544621178211,-0.01498256097415398,-0.011804533559712588,-0.00794403248092108,0.013324832551404339,0.025428711174235483,-0.011287179503675816,-0.017836729950265015,ester,alcohol
7affab06f8be4053ac31617c1205c4c3,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2494,CC(C)O,0.7506,1.955,0.0,2.008109862091615,0.0382399327112517,0.0028206574513903702,0.03571428571428571,1.5943650773897426,3.962933364322764e-05,0.049973571987045745,0.005535406955549466,0.0013782808197471772,0.0011359987044122426,0.004295682601152886,0.009458114615433048,0.00045029173203949566,-0.0001939214795619689,-0.001215944984258676,-0.0029533372809037598,-0.00013014385055458146,6.780125452820321e-05,ester,alcohol
e00b079347a248ebaa3b0f4bf941ba45,299.15,101.32,2,CC(C)(C)O,0.2279,COC=O,0.7721,1.811,0.0,1.5655615107558347,0.03225050531700797,0.06024005200245821,0.03571428571428571,1.5943650773897426,0.0008463534337762479,-0.029712800651394738,0.000691761777871804,0.027941322437871015,0.017482561510868758,-0.0192406535909543,-0.0648102212896227,0.0023182812755212162,0.003016640297445827,0.019959991796327153,0.03351120504771824,0.002534053152052603,0.004186024428738801,alcohol,ester
bea9a747159045b3ba67d0b92ecbe0ea,299.15,101.32,2,CC(C)(C)O,0.4967,COC=O,0.5033,2.4856,0.0,2.310564778626005,0.037192993974244956,0.030637328721443424,0.03571428571428571,1.5943650773897426,0.0004304446543981598,-0.03347630680976969,-0.02696057747286301,0.05758841291294669,-0.008637697956983105,-0.03738643030022798,-0.1121024424268556,-0.00193583817548124,-0.01954831564075151,0.022094125453483902,0.01875495484865854,0.011894948659850167,-0.001105077787099353,alcohol,ester
0ce4d9c4fa6c44f6aae03c4d69a841d6,299.15,101.32,2,CC(C)(C)O,0.7127,COC=O,0.2873,1.8888,0.0,2.1197646324726556,0.04166944260022271,0.053344661453228845,0.03571428571428571,1.5943650773897426,0.0007494754053786225,0.11436748014118779,0.09128741110939749,-0.15477577917379978,0.009018273856773555,0.00915408209616868,0.1016575144999804,-0.016365161630372885,0.004951906167944618,-0.03105890643584992,-0.03689175621171404,-0.014298372538751426,0.00048604820745045394,alcohol,ester
4009627ced3d4bca95b1e307adedfad8,299.15,101.3,2,CC(C)(C)O,0.4947,CCCCOC(C)=O,0.5053,1.8338,0.0,1.4280422872093794,0.061838962532821035,0.1646393214890758,0.03571428571428571,1.5943650773897426,0.0023131297275637264,-0.5037801055998881,-0.18644165212122504,0.1566445144056747,-0.06653391713272751,-0.140602617499116,-0.33274977460943345,0.0004084455540060443,-0.012498282045055504,0.04540700200169337,0.060445003286264565,-0.015381488469984054,-0.03564731678388254,alcohol,ester
9821e25080484b228e9de37a0f1d8be7,299.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,1.3567,0.0,1.089884116425397,0.05076996012541107,0.07119071572769614,0.03571428571428571,1.5943650773897426,0.0010002067512602018,0.09482934922940307,0.0054680548871731596,0.017277590930323425,-0.027493547991126254,-0.04019768532417263,-0.11167800243287063,0.03337547283676744,0.014563343123970743,0.025661781244911103,0.04195126812784575,0.0025925714021315517,-0.004820216412431626,alcohol,ester
770dadd91b564194b8756fbd90ccc155,299.15,101.3,2,CC(C)(C)O,0.7354,CCCCOC(C)=O,0.2646,1.3646,0.0,0.9601779924745841,0.07076953479629361,0.16355716017088756,0.03571428571428571,1.5943650773897426,0.0022979257076948347,1.9367590496334417,0.09301769671987539,0.45602475867792946,0.13807145578979443,-0.16548192680471724,-0.38753042484741723,0.03249775361657476,0.011990516505531474,0.07062524316136212,0.1203556865262878,-0.010810644741463286,-0.022998503493301452,alcohol,ester
