Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment,Iteration
h_mix_rho_x_rho_pure,Pure Density,Slope,0.27174876562732964,1.400616424267524,-4.62457970504758,1.429030438762314,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.5878033513642774,1.0985526341779381,-0.3352908222837714,4.426130669283972,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,R,0.2120080881043437,0.46533285893265264,-0.9649607955707624,0.8698891014322496,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,R^2,0.04494742942165916,0.2996348499523613,0.00012323490793996646,0.9563472048975324,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,p,0.68675247713193,0.33180385876686797,0.0007413679010995556,0.9838613873051889,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.018595233225437876,0.0050545424229044966,0.007802071607057538,0.02721002029231921,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,MSE,0.012832980299897767,0.005525182763267266,0.0022437887586807723,0.02412351532520951,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,MUE,0.014537968231871923,0.0047669368050910176,0.005977095440589312,0.024401039768935522,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,Tau,-0.2,0.373086109059265,-0.8944271909999159,0.5449492609130661,alcohol,0
h_mix_rho_x_rho_pure,Pure Density,Slope,0.03561077530315587,0.71860551115691,-1.5538711299158663,0.7258111390845796,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.7559480485524197,0.562702673679488,0.21715364663112613,2.0140362752191687,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,R,0.0686079839045855,0.461025008033674,-0.8522983673347206,0.9498600091638211,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,R^2,0.004707055455451863,0.25333606999855096,0.0009106572005852121,0.9398143341457394,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,p,0.8972494949355846,0.2868976643058713,0.001458118871212753,0.9567777103709169,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.011539002688345708,0.003477527667161449,0.005150321583489472,0.017604882900939884,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,MSE,-0.00545846090868211,0.004177337006845546,-0.014178163956637365,0.0023949442025391066,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,MUE,0.009124721879561407,0.002929098909659921,0.0040969916817348295,0.015645924150202144,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,Tau,0.2,0.38396246021947006,-0.7302967433402214,0.7745966692414834,alcohol,1
h_mix_rho_x_rho_pure,Pure Density,Slope,-0.006293751054016284,0.8936811175787944,-1.233866568412416,0.670411955759715,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.794878471050971,0.7002826605699016,0.26190049826781703,1.7722523850340006,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,R,-0.012363552306674054,0.44799835867837107,-0.8630260608311162,0.8956922633719896,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,R^2,0.00015285742563986532,0.24774713809027446,0.00027891431580313853,0.942180296691391,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,p,0.9814556164703776,0.2917448292997207,0.0012924558444835019,0.9788913741062895,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.010480799160525717,0.0028185428025315515,0.00377281641543373,0.01480372847582925,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,MSE,0.0003874161313016655,0.004281674206743119,-0.008080910966773491,0.008614436165962136,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,MUE,0.00835489981004404,0.002604305703605542,0.0035863612685150814,0.013423148021031783,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,Tau,-0.06666666666666665,0.40869976396543756,-0.8563488385776752,0.7877263614433762,alcohol,2
h_mix_rho_x_rho_pure,Pure Density,Slope,-0.06715747489035885,0.6741416800561549,-0.8737879711890931,0.579433887902497,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.8430332822986174,0.5276101054814781,0.33274468861601336,1.477005264263742,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,R,-0.1405399427417886,0.4445667791125959,-0.8849564904924521,0.8251236944890736,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,R^2,0.01975147550586522,0.24146626490582543,0.0002215454024591747,0.888754503833472,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,p,0.7905780215056473,0.29410296055855767,0.0052855958229779225,0.9778413049204954,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.010852641892643296,0.0028761673326876,0.004141600118229211,0.015579762913717505,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,MSE,0.0004889784082314589,0.004333476371511155,-0.00813100801895189,0.008932920100323297,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,MUE,0.008598664465080749,0.002712916035497423,0.0035344397521619997,0.014074919012371845,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,Tau,-0.2,0.3973623079623085,-0.8563488385776752,0.7745966692414834,alcohol,3
h_mix_rho_x_rho_pure,Pure Density,Slope,0.045754260076539675,,-1.298519099758184,0.6879175334539537,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.7552776951685782,,0.24945127544793821,1.8336319435943138,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,R,0.09315540899647652,0.46522040088951766,-0.8462922684150845,0.9556591850217281,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,R^2,0.008677930225300818,0.26413252105311874,0.00032267995980218476,0.9812088653107297,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,p,0.8606710845749757,0.29613785047688884,0.0002046398418221374,0.9732678596535002,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.010134450977640007,0.002812769752339666,0.0031374822327415353,0.014369449604096585,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,MSE,0.001879690092727852,0.004252054966891549,-0.006968844288381885,0.010105503291548653,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,MUE,0.007402939564592555,0.00280590979133523,0.002228296626523759,0.01297924718289197,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,Tau,-0.06666666666666665,,-0.7745966692414834,0.7745966692414834,alcohol,4
h_mix_rho_x_rho_pure,Pure Density,Slope,0.04447680006472525,0.7761971888296417,-0.834922413412264,0.6951423102417348,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.7557662077931387,0.6085175159752215,0.2416327914649401,1.445074242415033,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,R,0.09006550058805111,0.44252411629489086,-0.8851136613257963,0.8974999840353626,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,R^2,0.008111794396176236,0.25019792961113885,0.00016204260031935937,0.967260882693023,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,p,0.8652670455294028,0.29567534304296333,0.00041373672158000505,0.9810574954863209,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.01007320140892749,0.002536283865086156,0.003885931010280128,0.014095077691265192,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,MSE,0.0013596199338406316,0.004103232883209082,-0.00738084721886928,0.00835761936359856,alcohol,5
h_mix_rho_x_rho_pure,Pure Density,MUE,0.007902878372291089,0.002546081527340324,0.003080510625047624,0.013215053461145673,alcohol,5
