Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half
7d929387e81645f1ba97815962dfdf2e,293.15,100.0,2,CCO,0.75,CCCCCCC,0.25,0.7379000000000001,0.0,0.7344840598998494,0.0003079186136506106,1.1668646767817382e-05,0.010101010101010102,0.04821932532357388,5.0692421755975225e-05,0.06238959659561823,-0.01724120008722156,0.05998743422352714,0.004331818622963539,0.0017895174748412512,-0.007214198816959281,,,,,,
54bac2d85e5e42f1908e94ed8133efca,293.15,100.0,2,CCO,0.5,CCCCCCC,0.5,0.7112000000000002,0.0,0.7022514573854799,0.00023410998772065684,8.00764149238853e-05,0.010101010101010102,0.04821932532357388,0.00034787816263525024,0.19995407337337007,-0.048059021610923354,0.16570371731191408,0.017974407106575607,0.005951174473116339,-0.001597440673880728,,,,,,
d5833f0d3ac54b95866e168e9b8e44d4,293.15,100.0,2,CCO,0.25,CCCCCCC,0.75,0.6945000000000001,0.0,0.6831421839033115,0.00021144034581049682,0.00012899998648619918,0.010101010101010102,0.04821932532357388,0.0005604181745829548,0.32051236310057457,-0.0628589378687163,0.22002729785781464,0.02325799055770385,0.004385466009726315,0.0029624491253980494,,,,,,
4b8a6f0c634145f3ab2ac48937ba961d,298.15,100.0,2,C1CCOCC1,0.5009,O=C1CCCCC1,0.4991,0.9160300000000002,0.0,0.9006049056037337,0.00030192996946938567,0.00023793353713373193,0.010101010101010102,0.04821932532357388,0.0010336611823352176,0.13025444259619176,-0.0825763696930974,0.2621712088814101,0.012559171412790322,,,0.010801344836714983,-0.004922138903130443,0.024779395233922127,-4.6493439277383305e-05,0.010324758782899563,-0.01239306943466457
6dc4e84fb31943ddbef5babe9c3865d5,298.15,100.0,2,C1CCOCC1,0.2471,O=C1CCCCC1,0.7529,0.9305900000000004,0.0,0.9067359041135041,0.0002240111696092976,0.0005690178905621564,0.010101010101010102,0.04821932532357388,0.0024720000072868445,0.19082138980747756,-0.1198764512743392,0.3451840377391531,0.023750272830214376,,,0.00923254684123304,0.0005493507557285802,0.052201593234609746,0.003477042290746925,0.019263187643488895,-0.021241240751750125
8925c257d25c4c7c9027c06da28ab9ca,298.15,100.0,2,C1CCOCC1,0.7389,O=C1CCCCC1,0.2611,0.9000800000000002,0.0,0.8948351329454404,0.0002349335816062788,2.7508630420007245e-05,0.010101010101010102,0.04821932532357388,0.00011950649659104336,0.045944560268089435,-0.02391806126976638,0.08981018435505134,0.004529329742579107,,,0.00681031760811965,-0.0005596699255583611,0.004943270892492121,0.000550499610712098,0.0018040407293141182,-0.0017251433504762324
ee44f9ab0a754f8da3f9391c6165bbfb,298.15,100.8,2,CCO,0.25,CC(C)CC(C)(C)C,0.75,0.6962000000000003,0.0,0.7114785252870508,0.00021851622832463958,0.0002334333349470427,0.010101010101010102,0.04821932532357388,0.0010141108307156971,-0.390830210825369,0.07994040842345343,-0.2753689131995757,-0.03192261567792469,-0.0017431656442018083,0.007521048044135202,,,,,,
9c650fee48cc467687e61e4b46ce14d9,298.15,100.8,2,CCO,0.75,CC(C)CC(C)(C)C,0.25,0.7354000000000002,0.0,0.7455213900143118,0.0002649036449942198,0.000102442535821808,0.010101010101010102,0.04821932532357388,0.00044504391425691025,-0.13587327563807355,0.05278582038585908,-0.1595154505829998,-0.008290549320471019,-0.008490359687814315,0.011350215586653853,,,,,,
8df7db918e354e9582c0fad1606ad317,298.15,100.8,2,CCO,0.5,CC(C)CC(C)(C)C,0.5,0.7106000000000002,0.0,0.7239775518816894,0.0002448017096094308,0.0001789588943472865,0.010101010101010102,0.04821932532357388,0.0007774560263711321,-0.1735137094008565,0.08103825476554431,-0.21822467717543773,-0.01638577281659513,-0.000956576146132615,0.017177084021255402,,,,,,
40d1cd2ebbf14a0abeb91ea79ed8193f,298.15,101.0,2,CCCCO,0.2497,CCCCCCC,0.7503,0.7000160000000001,0.0,0.6884237053571515,0.00019091025206027283,0.00013438129508661659,0.010101010101010102,0.04821932532357388,0.0005837963409290119,0.2946571755260086,-0.06500286193696093,0.22025017180816311,0.02401951873584141,0.0003753767166698122,-0.004766643900306205,,,,,,
7e2b7f447c7b4735be6e70bda11b7a6e,298.15,101.0,2,CCCCO,0.7502,CCCCCCC,0.2498,0.7612980000000001,0.0,0.7541122007394754,0.00025513519725307626,5.1635711012558206e-05,0.010101010101010102,0.04821932532357388,0.000224322433646508,0.09661962063577255,-0.03783381256733735,0.11169660315026207,0.006327925152324646,-0.0013754273791323668,-0.01680322810102944,,,,,,
9b7cc3aebcbe4072950daaa430ad03ac,298.15,101.0,2,CCCCO,0.4999,CCCCCCC,0.5001,0.7268920000000002,0.0,0.7174596837719867,0.0002297900381644727,8.896858942524774e-05,0.010101010101010102,0.04821932532357388,0.00038650867987689174,0.2393817189916336,-0.042805928564417596,0.168392621135899,0.02133516901965359,0.005716893728225665,0.0007378057965579134,,,,,,
f17f41c5d44a48d283a58de5ca9553ff,298.15,100.8,2,CC(C)OC(C)C,0.25,CC(C)CC(C)(C)C,0.75,0.6937500000000002,0.0,0.7108591010045572,0.00021796020233316683,0.0002927213371841327,0.010101010101010102,0.04821932532357388,0.0012716773227240874,-0.389267616669442,0.09718799809780533,-0.3010585458229955,-0.03087373998362525,,,-0.00500449892191647,-0.0015167915492190524,,,,
d636a845f12947a08dd384a44b1ba54b,298.15,100.8,2,CC(C)OC(C)C,0.5,CC(C)CC(C)(C)C,0.5,0.7007600000000002,0.0,0.7176274794813786,0.00022793114450477312,0.0002845118640547232,0.010101010101010102,0.04821932532357388,0.0012360126837517131,-0.44654137358877266,0.09377185296470937,-0.3262529742079047,-0.036226302899268925,,,-0.013563005487597025,-0.00466463163596026,,,,
ef9b17646beb45ff83c4c450473b767d,298.15,100.8,2,CC(C)OC(C)C,0.75,CC(C)CC(C)(C)C,0.25,0.7090800000000002,0.0,0.7259084681302049,0.0002113610411004639,0.00028319733960931783,0.010101010101010102,0.04821932532357388,0.0012303019591989044,-0.33339578792168584,0.09679631538441284,-0.2990870497663717,-0.026082213956275597,,,-0.016977478546196204,-0.0030097155736245004,,,,
e55d238554c245e6bf509d5f5658af7e,298.15,101.3,2,C1COCCO1,0.7778,O=C1CCCC1,0.2222,1.0081000000000002,0.0,1.0367324677120568,0.0003221658200287963,0.0008198182072819655,0.010101010101010102,0.04821932532357388,0.0035615586925970884,-0.06366349585733212,0.03967592762849809,-0.3951746827614987,0.02468271304708183,,,-0.06900156214363125,0.03752695403123172,-0.024857824868923396,-0.0016174632738308672,-0.005191067728122556,0.01551903909524618
84c39470a147421f8225354da57407b5,298.15,101.3,2,C1COCCO1,0.2436,O=C1CCCC1,0.7564,0.9633500000000004,0.0,0.9443723781794526,0.00023563197867760956,0.0003601501299637298,0.010101010101010102,0.04821932532357388,0.0015646100740613665,0.04041763863476922,-0.09162601909773113,0.2668169986778331,0.0068966063416235285,,,0.013863924272714868,-0.007448937421074509,0.05602462786407006,0.0049029813546655225,0.020471382123393837,-0.020614493430554492
fb3051f72cbb432b98f474e2960697ef,298.15,101.3,2,C1COCCO1,0.5063,O=C1CCCC1,0.4937,0.9849200000000002,0.0,0.9876481681936142,0.00022521791669424048,7.4429016926470156e-06,0.010101010101010102,0.04821932532357388,3.233440168336658e-05,-0.006261189215022172,0.008209069385238892,-0.035189615454551175,0.0010480453722949542,,,-0.004237159018183667,0.0013834926310676019,-0.004915335435091452,-6.925737316554109e-05,-0.0019469230902209034,0.0019215545770053955
7e6cb51c834448c8887a05bbfc2b649b,303.15,101.3,2,CC(C)(C)O,0.4973,CCCCOC(C)=O,0.5027,0.8266077003431636,0.0,0.8410302478931015,0.00027862513700426287,0.00020800987783022238,0.010101010101010102,0.04821932532357388,0.0009036630096182837,-0.20710728243136936,0.0878095028104778,-0.23739279719332596,-0.013511688330458979,0.0011229963601068467,0.024828517577049528,-0.009925567427116087,0.005279008637018063,-0.0251072751849653,-0.00024741760657064803,-0.00985933240565585,0.006286616847365998
4b9e480efdd949168af7266ef60f9164,303.15,101.3,2,CC(C)(C)O,0.7538,CCCCOC(C)=O,0.2462,0.8010966665339349,0.0,0.8240777831977694,0.0002932298111383323,0.0005281317231167722,0.010101010101010102,0.04821932532357388,0.0022943771101876535,-0.33407001079075355,0.11795380166707752,-0.3127514021605475,-0.015498442943812217,-0.024125786926525443,-0.01021119296146572,-0.011553632166691008,-0.0014354345340496899,-0.019152020727872074,0.0005658448020166897,-0.004255166578827873,0.011051667922666125
4dbbfbd69ae648b48f7d958f037fab2f,303.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,0.8504597383810222,0.0,0.8577703218918991,0.0002328865427868984,5.34446312695049e-05,0.010101010101010102,0.04821932532357388,0.00023218097546482552,-0.11337485805667649,0.033315364614415095,-0.10108790971490908,-0.005820346518213509,-0.0002918142944455735,0.003478647416649383,-0.006862116034476582,0.0014827813248209389,-0.016886614277888193,-0.0009977536783552987,-0.0071113832244061904,0.002781460223386238
18fcca509dad4dfdab501595360824ca,303.15,101.0,2,C1CCCCC1,0.2792,CCCO,0.7208,0.7831500000000001,0.0,0.7721490954935152,0.00025080330088801895,0.00012101989996080073,0.010101010101010102,0.04821932532357388,0.0005257500661172513,0.22726767662160638,-0.0473646233516605,0.19160662547436472,0.020462102585045064,0.006656715775014385,-0.01188452409627109,,,,,,
ec222a3da1be40769dd668be7c9207e2,298.15,101.0,2,C1CCCCC1,0.5071,CCCO,0.4929,0.7807100000000002,0.0,0.7674087524853512,0.00026694479293240054,0.00017692318544595636,0.010101010101010102,0.04821932532357388,0.0007686122404333115,0.30708700962122043,-0.05822322615277497,0.24389649733478228,0.03159435070305529,-0.006500222760635284,-0.03133308883767269,,,,,,
f924708907134ac59208cc4cba69689f,303.15,101.0,2,C1CCCCC1,0.7888,CCCO,0.2112,0.7706800000000001,0.0,0.7541048473110158,0.0003147327363428569,0.0002747356866631452,0.010101010101010102,0.04821932532357388,0.0011935417685413968,0.4092602034646727,-0.1115322746805361,0.38914898406640847,0.04653836699299624,0.003290655538294724,-0.0070021248551398125,,,,,,
88ad1e4ecd4849c5ba3e1af6f0acbc1b,298.15,101.0,2,CCCO,0.7973,CC1CCCCC1,0.2027,0.7942000000000002,0.0,0.7845656704135462,0.0002552993001697033,9.282030658042384e-05,0.010101010101010102,0.04821932532357388,0.00040324180021209866,0.1651479321686021,-0.045096441114611426,0.16534530951062035,0.013350232210301375,0.0012986135955219394,-0.025444934855643347,,,,,,
14adbc1f07144ab5955893708e5c84b4,298.15,101.0,2,CCCO,0.4969,CC1CCCCC1,0.5031,0.7785600000000001,0.0,0.7724765519918533,0.0002326226782005908,3.700833966782604e-05,0.010101010101010102,0.04821932532357388,0.00016077634367200395,0.0980172771294917,-0.034370909195734475,0.11000680633673769,0.01035659088875917,0.001463971265209881,-0.006618836463393262,,,,,,
279f33d1eb95474dbd7ae184ada2b8fa,298.15,101.0,2,CCCO,0.201,CC1CCCCC1,0.799,0.7688300000000002,0.0,0.7640003515698223,0.00022992767705959274,2.3325503959120516e-05,0.010101010101010102,0.04821932532357388,0.0001013336257317848,0.0884965161838377,-0.029888903953748876,0.09633081247344105,0.011302909259065744,0.001746184418255585,0.0004006975508544591,,,,,,
