Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
e5dd5fbd8a2543cb95812dc0fc77c697,298.15,101.0,2,C1CCOCC1,0.5,O=C1CCCCC1,0.5,0.08657999999999999,0.0,0.00731982032910139,0.03873179747622556,0.0062821760814631275,0.010638297872340425,1.5943650773897426,2.6290975783279736e-05,0.00906322052766278,0.001834251225513043,0.003911687255001977,0.0039663633815861426,0.00018532066505644405,0.0005041283978840117,-9.817550966122952e-05,4.745479867061281e-06,0.0003215633453028421,0.0009254829162589714,,
f664213a4d414730806e516b6d5fcef7,298.15,101.0,2,C1CCOCC1,0.25,O=C1CCCCC1,0.75,0.05827,0.0,-0.007068076406085311,0.04210957280269332,0.004269064228447442,0.010638297872340425,1.5943650773897426,1.7866080605183733e-05,-0.026905884167744355,-0.0031767328487404796,0.0011918497683141291,-0.0007483761215811416,0.0010972643432580083,0.0014662341999918422,-0.0007115470726059673,-0.0008553146445142418,0.0006965666696992101,0.00018648262487041035,,
2dd42470be3d4f22b2648bb048f62745,298.15,101.0,2,C1CCOCC1,0.75,O=C1CCCCC1,0.25,0.07697999999999999,0.0,0.0214636210549628,0.03960798508760342,0.003082068331168969,0.010638297872340425,1.5943650773897426,1.2898489759985306e-05,-0.021175834147416254,-0.004232357786066749,0.0029512972882290403,-0.0027944945546045873,0.0006013471113940313,-0.0001330927378952816,0.0003630013720859243,-0.0001493219415380193,0.0008555923133398851,0.0009953754469335318,,
2a91772ddfd8435aa11f4c7869c2f137,303.15,101.0,2,CCO,0.2383,CC(C)CC(C)(C)C,0.7617,0.634022,0.0,0.7818770798123182,0.049878946591958524,0.021861124626307005,0.010638297872340425,1.5943650773897426,9.148904626239602e-05,-0.056391987041027894,0.01050667945907952,-0.036145140850645525,-0.004549565274584881,,,,,,,-0.009822737645541497,-0.022604926281235962
e1ceeaa2f1d848b0901b7830e085f4da,303.15,101.0,2,CCO,0.738,CC(C)CC(C)(C)C,0.262,0.46121,0.0,0.7054067511110311,0.03848660120122991,0.059632053253182875,0.010638297872340425,1.5943650773897426,0.0002495607967138577,-0.14210547116057512,-0.006741005516387987,-0.02656551018663537,-0.0069769449901605236,,,,,,,-0.028074996698241185,-0.0553298573606557
c38755b1caf941ca925333aab420ed17,303.15,101.0,2,CCO,0.4842,CC(C)CC(C)(C)C,0.5158,0.6389729999999999,0.0,0.9019656179666953,0.05146156944863621,0.06916511710497618,0.010638297872340425,1.5943650773897426,0.0002894567734610717,-0.21972208201525728,-0.008335589315484886,-0.05461257610776751,-0.019408170145548683,,,,,,,0.0026880861706637905,-0.0001295544484029358
9b7e919903724d77bc8df6a3ab20f0b9,298.15,101.3,2,CCCCO,0.2499,CCCCCCC,0.7501,0.5981,0.0,0.6332530015253042,0.05174550241510171,0.0012357335162380399,0.010638297872340425,1.5943650773897426,5.171558314938982e-06,0.051760686285198504,0.007881523411368642,-0.0024613258939242236,0.0017734419767375836,,,,,,,6.878361101085272e-05,-0.00015876248811226316
9f4895b5bfbd4578a5466bddd4599c4a,313.15,101.3,2,CCCCO,0.7501,CCCCCCC,0.2499,0.4805,0.0,0.5781300555802247,0.05249608075084214,0.009531627752597763,0.010638297872340425,1.5943650773897426,3.988996665633428e-05,0.1032512025683501,0.004874720236685949,0.024615560699670556,0.006358110121324925,,,,,,,-0.003077498596349789,-0.00984903076210965
5b389a74832b49158c5054bd7e362f1f,298.15,101.3,2,CCCCO,0.4999,CCCCCCC,0.5001,0.5751,0.0,0.6529239113465195,0.05466593740010904,0.006056561177270936,0.010638297872340425,1.5943650773897426,2.5346774935429195e-05,0.03774174501652959,0.008185879025563513,-0.008232373937681399,-0.0011312135840924663,,,,,,,-0.002849046012844278,-0.007535363108617383
1b5f66e1e6894b39901ce1fb64fd1b6f,303.15,101.0,2,CC(C)OC(C)C,0.2252,CC(C)CC(C)(C)C,0.7748,0.132161,0.0,0.20776050285343217,0.04850022609029073,0.005715284831686099,0.010638297872340425,1.5943650773897426,2.39185296871541e-05,-0.13784380137048088,-0.004858326285020465,-0.02832238343011349,-0.007362063749937988,-0.0003996670832155273,-0.0007036519701339538,,,,,,
bdc9be3207fe49ea9936ec76d3864c57,303.15,101.0,2,CC(C)OC(C)C,0.4875,CC(C)CC(C)(C)C,0.5125,0.197047,0.0,0.4333563803612037,0.049670311687035285,0.05584212324669605,0.010638297872340425,1.5943650773897426,0.000233699898081156,-0.04042865948260419,0.01453548896448873,-0.05067699065065417,-0.012683978215738065,-0.001730447235879758,-0.0043513125381191555,,,,,,
344ef6cb0c4446e4b166264a55317bf1,303.15,101.0,2,CC(C)OC(C)C,0.7307,CC(C)CC(C)(C)C,0.2693,0.158983,0.0,0.2359813413677614,0.05088870049347148,0.005928744573386313,0.010638297872340425,1.5943650773897426,2.4811861046697657e-05,0.05802808976741189,0.006430219479816285,0.0011880983673606702,0.0002098426424959991,6.007643165505285e-05,-0.0008783313937917541,,,,,,
7c0f4aa14f1e4c7d89330f332868577e,298.15,101.3,2,C1COCCO1,0.75,O=C1CCCC1,0.25,0.07097,0.0,0.1664897725987089,0.034528524261335396,0.009124026957309057,0.010638297872340425,1.5943650773897426,3.81841528588189e-05,-0.00892170405081751,-0.002676480451865492,0.006677681838933327,-0.0006839021054921885,0.000545569558313079,-0.0011051772704582857,0.0004947769708495006,-4.024664973371361e-05,-0.0005575864147466235,-0.0018275423791748026,,
42bc6294b7b342a3b4b3964d438bd342,298.15,101.3,2,C1COCCO1,0.25,O=C1CCCC1,0.75,0.04589,0.0,0.04133290817038926,0.036727196173060805,2.0767085943504967e-05,0.010638297872340425,1.5943650773897426,8.691048237903211e-08,-0.0018025675043343002,-0.0002687468925126791,0.0004821747049035043,0.0001261471372197889,4.924114567658889e-05,3.874012277674266e-05,4.4817809166193456e-05,1.0905087054365237e-05,9.830941281468264e-07,-1.837733618867517e-05,,
856f23045f4f4b07af6ecb97380c869f,298.15,101.3,2,C1COCCO1,0.5,O=C1CCCC1,0.5,0.07457000000000001,0.0,0.17689317938682336,0.03493254171091255,0.010470033039828032,0.010638297872340425,1.5943650773897426,4.381720307275236e-05,0.09235552595563445,0.007100615004068028,0.004824740125250331,-0.0030488692573469077,0.0019501755316085182,0.0008416528483248923,0.0016450450265948055,-0.00019917254597086626,0.001472984631956995,0.0010288449861263805,,
b94d9a46fb514de69b50500a5cb68bba,299.15,101.3,2,CC(C)(C)O,0.4947,CCCCOC(C)=O,0.5053,1.8338,0.0,1.4167395384132782,0.045633635788424276,0.17393942861892958,0.010638297872340425,1.5943650773897426,0.0007279384159688699,-0.1923251785294643,-0.08992761581301346,0.1156496023577768,-0.022640775617564578,0.0046268374666310515,-0.001297603702244773,0.010172111364324082,0.0009342626881457173,0.016985169309356556,0.02423596381356823,-0.003381903881460853,-0.04582351688374507
43b04667258b499db83afe2131c81de1,318.15,101.3,2,CC(C)(C)O,0.7539,CCCCOC(C)=O,0.2461,1.2886,0.0,0.7973093683040062,0.052986329514245284,0.24136648479224856,0.010638297872340425,1.5943650773897426,0.00101012138537359,-0.3187076532508453,-0.027666466736044646,-0.044262915653824876,-0.036051283571341644,0.0004806574587601761,-0.0015962460688324937,-0.004027757123621561,-0.002516333037532714,0.0026670220997600026,0.00952106728947163,-0.022177935186409436,-0.07031203552078784
c91ce2fa19704fdd822468811bdb7cdc,318.15,101.3,2,CC(C)(C)O,0.2462,CCCCOC(C)=O,0.7538,1.3975,0.0,0.9422574564633983,0.04917410302934703,0.20724577344567466,0.010638297872340425,1.5943650773897426,0.0008673258342638342,0.14841644682814806,0.02188919190085297,-0.03242407502968495,-0.02371262790147687,-0.010916487526506221,-0.01651949119259448,-0.026168591949627805,-0.01689198879101408,-0.015305107236041698,-0.022064132503733527,-0.017041466344668955,-0.04734015619332974
