Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,Environment 1,Environment 2
7d929387e81645f1ba97815962dfdf2e,293.15,100.0,2,CCO,0.75,CCCCCCC,0.25,0.7379000000000001,0.0,0.733156779713115,0.00030823234296477157,2.2498138689918552e-05,0.010101010101010102,0.04821932532357388,9.773928013137575e-05,0.08872657479994325,-0.026301173949117733,0.08625434560454381,0.00632960835461339,0.0007372387094079315,-0.013989859314182522,,,,,,,alcohol,alkane
54bac2d85e5e42f1908e94ed8133efca,293.15,100.0,2,CCO,0.5,CCCCCCC,0.5,0.7112000000000002,0.0,0.7017897694082867,0.0002246451797561639,8.85524397892191e-05,0.010101010101010102,0.04821932532357388,0.00038470078961481415,0.24829281107864704,-0.03920372013058133,0.1556390562108611,0.01585765402361913,-0.0015272853044486336,-0.015469690419455227,,,,,,,alcohol,alkane
d5833f0d3ac54b95866e168e9b8e44d4,293.15,100.0,2,CCO,0.25,CCCCCCC,0.75,0.6945000000000001,0.0,0.6834944205808698,0.00022139339197507006,0.00012112277835078385,0.010101010101010102,0.04821932532357388,0.0005261970035246792,0.37600218047898654,-0.05254160362194315,0.21922975286417512,0.029337301719805888,0.005371054768692899,0.0032667908873675743,,,,,,,alcohol,alkane
ee44f9ab0a754f8da3f9391c6165bbfb,298.15,100.8,2,CCO,0.25,CC(C)CC(C)(C)C,0.75,0.6962000000000003,0.0,0.7113656894794371,0.0001974472290127051,0.0002299981373867019,0.010101010101010102,0.04821932532357388,0.0009991872078647444,-0.34196642783343617,0.08198594629264398,-0.2548471302914822,-0.027021323690903876,0.0020664817463417534,0.013228728640592645,,,,,,,alcohol,alkane
9c650fee48cc467687e61e4b46ce14d9,298.15,100.8,2,CCO,0.75,CC(C)CC(C)(C)C,0.25,0.7354000000000002,0.0,0.7442711955712944,0.00024235114468757203,7.86981108641504e-05,0.010101010101010102,0.04821932532357388,0.00034189035855699515,-0.18828521912137788,0.033203725347923756,-0.13571425232649142,-0.013777680359031617,-0.005617788276401563,0.014206856248378457,,,,,,,alcohol,alkane
8df7db918e354e9582c0fad1606ad317,298.15,100.8,2,CCO,0.5,CC(C)CC(C)(C)C,0.5,0.7106000000000002,0.0,0.7228417475194338,0.0002440658768729252,0.00014986038232955677,0.010101010101010102,0.04821932532357388,0.0006510425636084763,-0.2094994495107789,0.07472559095038964,-0.2117173949642589,-0.01948601263581679,-0.007248346682277227,0.00388110845331856,,,,,,,alcohol,alkane
40d1cd2ebbf14a0abeb91ea79ed8193f,298.15,101.0,2,CCCCO,0.2497,CCCCCCC,0.7503,0.7000160000000001,0.0,0.6881679730176892,0.00021832698963199603,0.00014037574337356738,0.010101010101010102,0.04821932532357388,0.0006098381868090832,0.2857973425354691,-0.06360339175296673,0.21367885721945737,0.024065663008058482,0.00443437993775323,0.0016839549751580625,,,,,,,alcohol,alkane
7e2b7f447c7b4735be6e70bda11b7a6e,298.15,101.0,2,CCCCO,0.7502,CCCCCCC,0.2498,0.7612980000000001,0.0,0.7529317665154667,0.0002333698973808418,6.999386271772903e-05,0.010101010101010102,0.04821932532357388,0.00030407625492639994,0.12216451424322142,-0.044044206128205914,0.13839585044550215,0.013847456299129006,0.003465929527724525,-0.010663520677478992,,,,,,,alcohol,alkane
9b7cc3aebcbe4072950daaa430ad03ac,298.15,101.0,2,CCCCO,0.4999,CCCCCCC,0.5001,0.7268920000000002,0.0,0.7169266740466402,0.0002610126810480213,9.930772135670983e-05,0.010101010101010102,0.04821932532357388,0.0004314252539140696,0.2524504248177506,-0.047335177424984866,0.1770556152301185,0.020084516541321137,0.0031163412247033565,-0.006706690631578966,,,,,,,alcohol,alkane
18fcca509dad4dfdab501595360824ca,303.15,101.0,2,C1CCCCC1,0.2792,CCCO,0.7208,0.7831500000000001,0.0,0.7716643373791479,0.0003211790351591525,0.00013192044584004294,0.010101010101010102,0.04821932532357388,0.0005731056061448174,0.18330944708552663,-0.06416963434715998,0.2129423601732877,0.020074509734022188,0.004089442260934068,-0.024013904764103474,,,,,,,alkane,alcohol
