Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
2a91772ddfd8435aa11f4c7869c2f137,303.15,101.0,2,CCO,0.2383,CC(C)CC(C)(C)C,0.7617,0.634022,0.0,0.8945989011097168,0.05097784388610757,0.06790032139194317,0.010638297872340425,1.5943650773897426,0.0002841635895338867,-0.2660042147116079,-0.008647034711951225,-0.0476746015921436,-0.008659786351918866,,,,,,,-0.0030043112771278063,-0.007965094318157775,alcohol,alkane
e1ceeaa2f1d848b0901b7830e085f4da,303.15,101.0,2,CCO,0.738,CC(C)CC(C)(C)C,0.262,0.46121,0.0,0.6991408940020349,0.03549792454018226,0.05661111032060758,0.010638297872340425,1.5943650773897426,0.00023691811741721036,-0.20039086563828576,-0.004673705810435649,-0.04868444343215111,-0.010427674860941614,,,,,,,0.005092176494889508,0.009445112606300349,alcohol,alkane
c38755b1caf941ca925333aab420ed17,303.15,101.0,2,CCO,0.4842,CC(C)CC(C)(C)C,0.5158,0.6389729999999999,0.0,0.9153149912387448,0.041435267982984955,0.07636489612179458,0.010638297872340425,1.5943650773897426,0.00031958792759008057,-0.033229334293849784,0.00730323852929036,-0.010154927973499855,0.007805000113236769,,,,,,,-0.012657730273276893,-0.030356926136651814,alcohol,alkane
9b7e919903724d77bc8df6a3ab20f0b9,298.15,101.3,2,CCCCO,0.2499,CCCCCCC,0.7501,0.5981,0.0,0.6383835317687954,0.05048538466882107,0.0016227629317675481,0.010638297872340425,1.5943650773897426,6.791280662602525e-06,0.0726841980864038,0.003078554092213614,0.013771958920055508,0.0032556661126880806,,,,,,,-0.0016184707144735705,-0.004623558022736928,alcohol,alkane
9f4895b5bfbd4578a5466bddd4599c4a,313.15,101.3,2,CCCCO,0.7501,CCCCCCC,0.2499,0.4805,0.0,0.562687060980366,0.046130985216108276,0.006754712992590407,0.010638297872340425,1.5943650773897426,2.8268547937586445e-05,0.03493580521556171,0.006843823048027221,-0.010190498242082213,-0.0025205866814915208,,,,,,,0.005590032165223552,0.010633733633253643,alcohol,alkane
5b389a74832b49158c5054bd7e362f1f,298.15,101.3,2,CCCCO,0.4999,CCCCCCC,0.5001,0.5751,0.0,0.7610775453565708,0.04546686456459563,0.034587647376855365,0.010638297872340425,1.5943650773897426,0.00014474968351631053,0.047197463482428884,-0.008503225970167115,0.02919802479594501,-0.0016235889761257872,,,,,,,0.005195444474891443,0.004805866742846958,alcohol,alkane
b15a75a66222403e94d7f85fa76c7859,313.15,100.0,2,CCCO,0.2497,C1CCCCC1,0.7503,0.7909999999999999,0.0,0.9606601883786823,0.044851727039037205,0.028784579520689982,0.010638297872340425,1.5943650773897426,0.00012046378090919357,-0.05297577952224259,0.006343814202848894,-0.034038029649458075,-0.009166902996901226,,,,,,,-0.008416288253576917,-0.01992126705398377,alcohol,alkane
dde14e9668404ad48eb2435540be71e4,298.15,100.0,2,CCCO,0.5002,C1CCCCC1,0.4998,0.599,0.0,0.6232246623603785,0.04455970845616431,0.0005868342664743421,0.010638297872340425,1.5943650773897426,2.4559078396736616e-06,-0.0038193821414766256,-0.001142092835047939,0.0009265671953794514,-0.001053236674610447,,,,,,,-0.001008635340530942,-0.0027055396917464326,alcohol,alkane
78d40e452cd84423ae427ead4012621b,298.15,100.0,2,CCCO,0.7501,C1CCCCC1,0.2499,0.378,0.0,0.2778454631625422,0.045375954876484895,0.010030931249125689,0.010638297872340425,1.5943650773897426,4.197955726403103e-05,0.02445622030676894,0.013126591304753014,-0.020226639389916683,0.0072089034888330895,,,,,,,0.0022798319163328915,0.011220671745710143,alcohol,alkane
2104fff10ef14306a59b52b52e75e33b,298.15,100.0,2,CCCO,0.7496,CC1CCCCC1,0.2504,0.321,0.0,0.2873885559686471,0.040875978213043535,0.0011297291698727692,0.010638297872340425,1.5943650773897426,4.727928963091422e-06,-0.005527428298749754,-0.00018497774471440618,-0.0019016745431478517,0.00030216645688461156,,,,,,,-0.0005895568283835869,-9.558740030469151e-05,alcohol,alkane
