Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
1b5f66e1e6894b39901ce1fb64fd1b6f,303.15,101.0,2,CC(C)OC(C)C,0.2252,CC(C)CC(C)(C)C,0.7748,0.132161,0.0,0.2704896722585062,0.04182805632796841,0.019134821568801214,0.010638297872340425,1.5943650773897426,8.007943807356083e-05,-0.06323512765638624,-0.008910772868777821,-0.013581593426716065,-0.013781366101095843,0.0012018231074729505,0.00147290964954174,,,,,,,ether,alkane
bdc9be3207fe49ea9936ec76d3864c57,303.15,101.0,2,CC(C)OC(C)C,0.4875,CC(C)CC(C)(C)C,0.5125,0.197047,0.0,0.3219445520376638,0.04314558752686457,0.015599398505000939,0.010638297872340425,1.5943650773897426,6.528365378660185e-05,0.03452400689175569,-0.006064939026933114,0.026682058975957573,0.006388232346686875,-0.0004782118703023707,-0.0011358918794758253,,,,,,,ether,alkane
344ef6cb0c4446e4b166264a55317bf1,303.15,101.0,2,CC(C)OC(C)C,0.7307,CC(C)CC(C)(C)C,0.2693,0.158983,0.0,0.29764740919299015,0.037122622721669,0.019227818376841007,0.010638297872340425,1.5943650773897426,8.046863073489215e-05,0.2038061308292324,0.012960450736683879,0.03204548848505421,0.0116553989571989,0.005363344379373322,0.006330030783477851,,,,,,,ether,alkane
a4f021b570a04fd98714ad589171a0a7,308.15,101.0,2,C1CCOCC1,0.2734,C1CCCCC1,0.7266,0.4424,0.0,0.5721330201374855,0.04385276046639297,0.016830656513993205,0.010638297872340425,1.5943650773897426,7.043648205464455e-05,-0.014615546445051053,-0.006776751622403246,0.0158900208174195,0.002795986922964293,-0.0009800649860585858,-0.0023349821214949163,,,,,,,ether,alkane
92a3e1f2df4b47f18fd0c7e6a32a5efe,308.15,101.0,2,C1CCOCC1,0.5322,C1CCCCC1,0.4678,0.5262,0.0,0.7055429088351701,0.041137422354819236,0.03216387894946014,0.010638297872340425,1.5943650773897426,0.00013460618607169818,0.08291087722410931,0.01359796923109827,-0.0032869540273492513,0.009806389064537159,-0.00023750290546967808,0.002371499892805018,,,,,,,ether,alkane
30879035a55e44f5985205629964648f,308.15,101.0,2,C1CCOCC1,0.7529,C1CCCCC1,0.2471,0.3613,0.0,0.4912002914334437,0.04130569480594521,0.0168740857144936,0.010638297872340425,1.5943650773897426,7.061823373492811e-05,-0.0936107836331164,-0.005089319052586246,-0.032304787875878725,-0.010692605890676752,-0.0026163964922051495,-0.0021951394366550112,,,,,,,ether,alkane
9cb787e7d46b4c7284a7a8ac1d4198e5,308.15,101.0,2,C1CCOCC1,0.5008,CCCCCCC,0.4992,0.6422,0.0,1.1739087966562778,0.03372579717627697,0.282714244441667,0.010638297872340425,1.5943650773897426,0.001183162212873374,0.03264831632672304,0.005302736673904248,-0.025632654875928872,0.01750959057181653,-0.0062867696113879865,0.004393724086607043,,,,,,,ether,alkane
d9871b2b02a44d0cb16531f75825400d,308.15,101.0,2,C1CCOCC1,0.7654,CCCCCCC,0.2346,0.4358,0.0,0.8263858960073094,0.041414087415314355,0.1525573421598327,0.010638297872340425,1.5943650773897426,0.0006384541496887719,0.18465168578426525,0.032333899327242774,-0.028803944276527754,0.02328818005697787,-0.009471365789684246,-0.0015876499231101827,,,,,,,ether,alkane
b08a96b6a9c04b2aa15e51f4d3235370,308.15,101.0,2,C1CCOCC1,0.2324,CCCCCCC,0.7676,0.4218,0.0,0.7826271857954055,0.04747503112620427,0.13019625800903206,0.010638297872340425,1.5943650773897426,0.0005448727673344495,0.7295750633828262,0.05253783000537272,0.10182294277446213,0.045762343810217855,-0.0028452087258803546,-0.0023960782524998516,,,,,,,ether,alkane
649fd9a544014629b1e2bcb4fb39e694,298.15,101.3,2,COC(C)(C)C,0.7473,CCCCCCCCCC,0.2527,0.3911,0.0,0.9785454830179745,0.04629905835097688,0.34509219551822135,0.010638297872340425,1.5943650773897426,0.0014442146220860663,0.10779793992413995,0.06468558165884163,-0.13214645295842636,-0.0075679057522673445,-0.007490752327812355,-0.01286949104955063,,,,,,,ether,alkane
19e5dd87bc674b8eb8a6e0d64b29bc70,298.15,101.3,2,COC(C)(C)C,0.2714,CCCCCCCCCC,0.7286,0.4046,0.0,1.1713422281536339,0.05860264433535586,0.587893644433999,0.010638297872340425,1.5943650773897426,0.0024603413480506174,-1.1895708994693759,0.03617461501609156,-0.5307352938190656,-0.13384600877130445,0.0030747089883681016,0.0011344259077117863,,,,,,,ether,alkane
40df68fa1bac47b9a1a16023d1248c5d,298.15,101.3,2,COC(C)(C)C,0.4966,CCCCCCCCCC,0.5034,0.532,0.0,1.2716273162005223,0.049607103087425296,0.5470485668699873,0.010638297872340425,1.5943650773897426,0.0022894042505900336,-2.3682211801227417,-0.20843382042849656,-0.2828131661947089,-0.14379666481924935,0.007936614561138535,0.006297759423296466,,,,,,,ether,alkane
5f0009712e83467ea193ee971d51e34f,308.15,101.0,2,C1CCOCC1,0.2274,CCCCCC,0.7726,0.3533,0.0,0.7022654532962349,0.046457149686821034,0.12177688759424671,0.010638297872340425,1.5943650773897426,0.0005096376098324601,-0.39336219447269394,-0.020558233908975307,-0.06621362365678468,-0.008623346750237309,-0.001699815214634927,0.0007047447614968194,,,,,,,ether,alkane
45a2b3cb762c4f328f2d06a03152ffe0,308.15,101.0,2,C1CCOCC1,0.7514,CCCCCC,0.2486,0.4307,0.0,0.7958345385142138,0.03944288953647405,0.13332323121598788,0.010638297872340425,1.5943650773897426,0.0005579591844919727,-0.16636802777695617,0.007071443584072019,-0.09725884653004624,-0.0154852797268789,-0.009828112721845684,-0.007184863460870349,,,,,,,ether,alkane
a91bce331c9c42bc99f7a5879e133895,308.15,101.0,2,C1CCOCC1,0.4968,CCCCCC,0.5032,0.5452,0.0,1.0164895758405663,0.03429237057201713,0.2221138642959809,0.010638297872340425,1.5943650773897426,0.0009295489574969485,-0.39425739852140895,0.011075835809660166,-0.1956783781858287,-0.031764360472224244,-0.015684050274019243,-0.007320640875690581,,,,,,,ether,alkane
1aa5cf2213e74a77b80c6d602b7f9c46,303.15,101.0,2,CC(C)OC(C)C,0.5,CCCCCCC,0.5,0.2564,0.0,0.5008296386479003,0.04888188774447965,0.05974584824954311,0.010638297872340425,1.5943650773897426,0.00025003703002135654,0.1907766076390686,-0.022855753103988533,0.0986017348745461,0.007426764449218219,0.005107419276556743,0.002591445613991418,,,,,,,ether,alkane
3f6978418d69450e8c68a6077522777b,303.15,101.0,2,CC(C)OC(C)C,0.221,CCCCCCC,0.779,0.1753,0.0,0.3345433325039835,0.04800778561256789,0.025358438946974243,0.010638297872340425,1.5943650773897426,0.0001061253450414912,0.22735416136643427,0.005335179796767526,0.04826024091399454,0.009199331664222456,-0.0010998193104951443,-0.000983873094406883,,,,,,,ether,alkane
2a832d7472e6414a8bff5a513b2a09bf,303.15,101.0,2,CC(C)OC(C)C,0.752,CCCCCCC,0.248,0.1922,0.0,0.33080803980033835,0.04921105992745509,0.019212188697292177,0.010638297872340425,1.5943650773897426,8.040322035460507e-05,0.2552446004006344,0.007003467067028531,0.05616029142818066,0.012334351938004251,0.004085624270309041,0.003614514231596059,,,,,,,ether,alkane
ccbb434a062643a7b07b262fdf0e0493,298.15,101.0,2,CCCCOCCCC,0.2501,CC(C)CC(C)(C)C,0.7499,0.0999,0.0,0.3949461170930988,0.0507065147112461,0.08705221121171457,0.010638297872340425,1.5943650773897426,0.0003643144584249065,0.35794461287786633,0.01284026445998655,0.008740166904325213,-0.024699614659461945,-0.00073908546536231,-0.003426049394091535,,,,,,,ether,alkane
2b964f3b6ef8410fb107d1180e8509b6,298.15,101.0,2,CCCCOCCCC,0.7499,CC(C)CC(C)(C)C,0.2501,0.08766,0.0,0.32526940959280637,0.05092079292920436,0.05645823152704202,0.010638297872340425,1.5943650773897426,0.00023627831798986396,-0.16730421050987931,-0.004677705825017607,-0.05416355263379015,-0.012210181543865745,-0.0036047417874716667,-0.004686369849342911,,,,,,,ether,alkane
fa4dbec2214c4422a1aad89e2b6f3e2f,298.15,101.0,2,CCCCOCCCC,0.4994,CC(C)CC(C)(C)C,0.5006,0.12295,0.0,0.42343615197046347,0.049147339304946115,0.09029192752601646,0.010638297872340425,1.5943650773897426,0.0003778727067228705,-0.045752605848320235,0.038568084263552495,-0.13095409693914822,-0.011541277048943093,-0.0097579599870904,-0.004849409295003575,,,,,,,ether,alkane
