Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
b94d9a46fb514de69b50500a5cb68bba,299.15,101.3,2,CC(C)(C)O,0.4947,CCCCOC(C)=O,0.5053,1.8338,0.0,1.4057233562281493,0.04382481996004842,0.1832496129429721,0.010638297872340425,1.5943650773897426,0.0007669016394486334,-0.49837383458296225,-0.05340957914925492,-0.02984838726749527,-0.02942717613032439,0.0010546691272227346,-0.010283760490554699,0.00594508771121509,-0.00588255035124439,-0.0007219518584553772,-0.011838638589431747,-0.022256016615794964,-0.042599164891433776,alcohol,ester
43b04667258b499db83afe2131c81de1,318.15,101.3,2,CC(C)(C)O,0.7539,CCCCOC(C)=O,0.2461,1.2886,0.0,0.9984829282516614,0.061421582812287254,0.08416791531983063,0.010638297872340425,1.5943650773897426,0.0003522436484918502,-0.26752723407983325,-0.004826149830295044,-0.060954550254553215,-0.012776257978427288,-0.0042376544511023686,-0.0033242158158189685,-0.0003449474035399353,0.0018859996828767334,0.009677587706327814,0.022562819720351845,-0.012812611976998583,-0.028625664869080445,alcohol,ester
c91ce2fa19704fdd822468811bdb7cdc,318.15,101.3,2,CC(C)(C)O,0.2462,CCCCOC(C)=O,0.7538,1.3975,0.0,0.9581858050799426,0.05209439503386202,0.1929969618582582,0.010638297872340425,1.5943650773897426,0.0008076944015361426,-0.10305748611303117,0.02891988685291333,-0.04099769123554023,0.028074339742851194,-0.005288808890430611,0.004139749699213108,-0.013924772566290324,-0.001767728973079135,0.01647291949880187,0.03895892914240232,-0.016594763220460794,-0.04888579025066827,alcohol,ester
8013d14133f647328352cd6691500da1,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7490000000000001,CCCCO,0.251,1.784,0.0,1.483381498177863,0.04958494881982993,0.09037148363778619,0.010638297872340425,1.5943650773897426,0.00037820564992293806,0.259728355852825,0.036986695924736794,-0.013630983299774545,0.0003422657318463018,-0.008693744321267786,-0.0018239584672888707,0.0016564394971349916,0.007154861423237709,0.012682653280094408,0.025445395292463563,-0.004246762986050513,-0.007867941908023422,ester,alcohol
1528f70deb0c4af68d31631e49273cee,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,2.325,0.0,2.228695394519235,0.0475692338667778,0.009274577036805797,0.010638297872340425,1.5943650773897426,3.881420659225353e-05,0.04808196258880185,0.008226723483537444,-0.007024951492747477,0.0007299498273557443,-0.0028914375844583213,-0.0029363217741137084,-0.0031149748688711963,-0.001350986118009722,0.001975602177566778,0.004276145514026844,-0.0053876608426310325,-0.007916757651471575,ester,alcohol
f180be96229843ca88f9dff8939bf6ae,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2499,CCCCO,0.7501,1.834,0.0,1.8855325563941285,0.04848053647642697,0.00265560436851403,0.010638297872340425,1.5943650773897426,1.1113733400212722e-05,0.03991951770193282,0.0013312564048696028,0.011560887139738301,0.0029474220003489443,0.0002950271929865341,0.0007212313116610776,-0.0006053516365500853,-0.0002197837596652726,-0.0011551647156949293,-0.0021488130138914417,0.00015861641266556962,-0.0014351301757105461,ester,alcohol
17666a65e0b645d6a5703031341dd23e,299.15,101.32,2,CC(C)(C)O,0.2279,COC=O,0.7721,1.811,0.0,1.421946794709104,0.03572035908193462,0.15136239654712003,0.010638297872340425,1.5943650773897426,0.000633453289197315,-0.019849903952535723,0.0015350573128235054,0.037076477990715576,0.01318573124358929,0.004288076670119722,-0.0070852341685649495,-0.0015172869854237017,-0.012585079541842207,0.043260802113597334,0.054955251293063126,-0.005919678205407829,-0.015963097111337383,alcohol,ester
f96e0f5284f240c49b9e030de5034c64,299.15,101.32,2,CC(C)(C)O,0.4967,COC=O,0.5033,2.4856,0.0,2.053100480746318,0.04105820017820674,0.18705583415466587,0.010638297872340425,1.5943650773897426,0.0007828307169537552,-0.16338440981490873,-0.009243224597973295,-0.0021206818885729983,-0.0009742610312074232,-3.257019239221035e-05,-0.004158191264193815,0.0051706227253247436,0.0006519461020677597,0.035632934944373515,0.05751048561644052,-0.01609052171683811,-0.03830392499549897,alcohol,ester
1aa2de659aae4620930cd8d5c575a73d,299.15,101.32,2,CC(C)(C)O,0.7127,COC=O,0.2873,1.8888,0.0,1.6250439899391935,0.04611940348458923,0.06956723284319627,0.010638297872340425,1.5943650773897426,0.0002911396322346128,-0.10975540788952494,-0.012578991795443195,0.011262373747339027,-0.0022670127611710343,0.002445726778539861,-0.0010483190191876836,-0.0009077554395131491,-0.005591619802637452,0.015739906894449394,0.018770023677834757,-0.007731104650254891,-0.02853825561328091,alcohol,ester
280692a503a74f02a18f3bea4cad172a,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7453,CO,0.2547,1.1840000000000002,0.0,0.9485452877587761,0.06895303366923826,0.05543892151659762,0.010638297872340425,1.5943650773897426,0.00023201249441969643,0.12669107641471025,-0.0027725837763799503,0.03300724120652829,-0.0044037799316488475,0.0036896502571449174,-0.005328256726948512,0.006340719963206524,-0.0011322003436104332,0.019201511052609557,0.02733435890723724,-0.014450126549997716,-0.02189364657149342,ester,alcohol
dfb1b76d9633418ea8473a9525f78c41,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.4993,CO,0.5007,1.426,0.0,1.2299708416692283,0.05267087177244933,0.038427430915870725,0.010638297872340425,1.5943650773897426,0.00016081921972927466,0.05667725845239639,0.0020202720578745576,-0.006008087329328776,-0.007306803096972027,0.004388965172528646,0.005569717240572633,0.007587952566636275,0.004137936632057636,0.010182547968805408,0.014741888351687637,-0.011341263040998088,-0.01463181977898467,ester,alcohol
ff87730499c64edf880e0f8d1bf37137,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2515,CO,0.7485,1.083,0.0,1.0605065231652446,0.038224949737208684,0.0005059565001156748,0.010638297872340425,1.5943650773897426,2.1174335006598707e-06,-0.005483290634174429,-0.001373771769176017,0.0015712217819454997,0.0006392171049905994,-0.00026149824907254024,-0.0008114056411457543,0.0006577534833195114,0.00018281197035967226,0.0014865599983949697,0.0020695193920686147,-0.002248033667309359,-0.002993608549534963,ester,alcohol
