Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
2a91772ddfd8435aa11f4c7869c2f137,303.15,101.0,2,CCO,0.2383,CC(C)CC(C)(C)C,0.7617,0.634022,0.0,0.9615831936051933,0.04074194471159372,0.10729633555605894,0.010638297872340425,1.5943650773897426,0.00044903634077731944,-0.18454508508978695,-0.02925400602534229,0.03404851915992606,0.009669425398328563,,,,,,,-0.0034890533658345577,-0.016039802071902476,alcohol,alkane
e1ceeaa2f1d848b0901b7830e085f4da,303.15,101.0,2,CCO,0.738,CC(C)CC(C)(C)C,0.262,0.46121,0.0,0.8027842021812432,0.03742006213874807,0.11667293559575283,0.010638297872340425,1.5943650773897426,0.00048827751475531423,-0.14277207626244945,-0.016793198832680337,-0.010056360060795789,-0.015109505487231273,,,,,,,0.007187951013940118,0.005737144330692824,alcohol,alkane
c38755b1caf941ca925333aab420ed17,303.15,101.0,2,CCO,0.4842,CC(C)CC(C)(C)C,0.5158,0.6389729999999999,0.0,1.040100374209345,0.04191879384854767,0.16090317034008406,0.010638297872340425,1.5943650773897426,0.000673381532132866,-0.17685140556132345,-0.04703518904472641,0.03819358940100191,-0.023390548432499624,,,,,,,0.003596715599130511,-0.0021287524001608834,alcohol,alkane
9b7e919903724d77bc8df6a3ab20f0b9,298.15,101.3,2,CCCCO,0.2499,CCCCCCC,0.7501,0.5981,0.0,0.9382582953727763,0.04998784694659477,0.11570766591091293,0.010638297872340425,1.5943650773897426,0.00048423785054033905,-0.8007978795537826,-0.0776908662685205,-0.06519628268442614,-0.03851392832036698,,,,,,,-0.00853606644433295,-0.020716467089273133,alcohol,alkane
9f4895b5bfbd4578a5466bddd4599c4a,313.15,101.3,2,CCCCO,0.7501,CCCCCCC,0.2499,0.4805,0.0,0.6570306081055364,0.04746098247918042,0.03116305559811047,0.010638297872340425,1.5943650773897426,0.00013041772937254326,0.1443776015440659,0.01769824741670674,-0.0023300212145583635,0.0002878311046800138,,,,,,,-0.00018337078915786785,-0.0095747422686904,alcohol,alkane
5b389a74832b49158c5054bd7e362f1f,298.15,101.3,2,CCCCO,0.4999,CCCCCCC,0.5001,0.5751,0.0,0.7754953319716975,0.05064426820079743,0.04015828907604687,0.010638297872340425,1.5943650773897426,0.00016806288010800207,-0.1796978326081017,-0.025784922489497084,0.011626247006391768,-0.00460337517592077,,,,,,,-0.0001531242551417572,-0.006491523994708594,alcohol,alkane
b15a75a66222403e94d7f85fa76c7859,313.15,100.0,2,CCCO,0.2497,C1CCCCC1,0.7503,0.7909999999999999,0.0,0.9921361349294102,0.04698338889019025,0.04045574477434195,0.010638297872340425,1.5943650773897426,0.00016930773546688794,-0.06057866222865204,0.02432186196500532,-0.0673760167864923,1.9022556256661933e-05,,,,,,,-0.0036317977337139455,-0.00854847219036442,alcohol,alkane
dde14e9668404ad48eb2435540be71e4,298.15,100.0,2,CCCO,0.5002,C1CCCCC1,0.4998,0.599,0.0,0.7294389948194677,0.03870130105331425,0.017014331369513132,0.010638297872340425,1.5943650773897426,7.120516333894042e-05,-0.09178223381466015,-0.003821576706689926,-0.03663393550845687,-0.01637380000037719,,,,,,,-0.009821901948525755,-0.018623595435004383,alcohol,alkane
78d40e452cd84423ae427ead4012621b,298.15,100.0,2,CCCO,0.7501,C1CCCCC1,0.2499,0.378,0.0,0.5077271046008818,0.04042558390372624,0.01682912166812812,0.010638297872340425,1.5943650773897426,7.043005870787e-05,-0.039063891916271694,0.006151215220907957,-0.028101429187909772,-0.003126922072120678,,,,,,,-0.003962965071828816,-0.00565843131764838,alcohol,alkane
2104fff10ef14306a59b52b52e75e33b,298.15,100.0,2,CCCO,0.7496,CC1CCCCC1,0.2504,0.321,0.0,0.4257649287327041,0.04071663171869992,0.010975690292368568,0.010638297872340425,1.5943650773897426,4.593338421902911e-05,-0.044441240045795506,-0.0004444489098997299,-0.01645121950280229,-0.003684074335557247,,,,,,,-0.003568733275779006,-0.003635445585701707,alcohol,alkane
