Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,Environment 1,Environment 2
f17f41c5d44a48d283a58de5ca9553ff,298.15,100.8,2,CC(C)OC(C)C,0.25,CC(C)CC(C)(C)C,0.75,0.6937500000000002,0.0,0.7089905537426872,0.00018849291197274318,0.00023227447838372942,0.007874015748031496,0.04821932532357388,0.000786602846159617,-0.16057510196885746,0.08084232412522277,-0.2094867433190319,-0.01508351740881228,,,-0.004837841972005149,-0.0019943020173083126,,,,,ether,alkane
d636a845f12947a08dd384a44b1ba54b,298.15,100.8,2,CC(C)OC(C)C,0.5,CC(C)CC(C)(C)C,0.5,0.7007600000000002,0.0,0.715269911715974,0.0002313502810719098,0.00021053753800535439,0.007874015748031496,0.04821932532357388,0.000712990199228238,-0.32912666464911694,0.0713238800815615,-0.24476936854844442,-0.022609268111251423,,,-0.0088764339637268,-0.0015993620248960078,,,,,ether,alkane
ef9b17646beb45ff83c4c450473b767d,298.15,100.8,2,CC(C)OC(C)C,0.75,CC(C)CC(C)(C)C,0.25,0.7090800000000002,0.0,0.7238290419069667,0.00020717873865780216,0.00021753423717345624,0.007874015748031496,0.04821932532357388,0.0007366846813669916,-0.3301965466897316,0.04624326942087802,-0.20048091877080207,-0.021008293348183868,,,-0.012544442384666695,-0.0040251650627941135,,,,,ether,alkane
74d5c6511c384f3895c2b9c77071cd50,298.15,100.0,2,C1CCOCC1,0.2378,C1CCCCC1,0.7622,0.7952000000000002,0.0,0.7798603943841663,0.00031923269394813525,0.00023530350044932347,0.007874015748031496,0.04821932532357388,0.0007968606988279604,0.20633080942944704,-0.08259545055956276,0.2747101097607082,0.024559780521826533,,,0.006595240198313614,0.0013594247686283581,,,,,ether,alkane
5330cce2645d46cbaa85dd8a34f5c0e6,298.15,100.0,2,C1CCOCC1,0.4982,C1CCCCC1,0.5018,0.8211500000000002,0.0,0.8131025568492032,0.00025467392765732077,6.476134126530911e-05,0.007874015748031496,0.04821932532357388,0.00021931576691025214,0.13426430754117893,-0.033249422182477124,0.14516808633065287,0.015291644912372825,,,0.006416085479771544,-0.0001834632038672176,,,,,ether,alkane
912330eaca1847e3b56d680cdf0b2b56,298.15,100.0,2,C1CCOCC1,0.7341,C1CCCCC1,0.2659,0.8470300000000002,0.0,0.8454005193175586,0.00025957862535206733,2.655207294450407e-06,0.007874015748031496,0.04821932532357388,8.99192037580643e-06,0.01312111556191599,-0.006786373365117184,0.027024929237310043,0.0022571256020519803,,,0.0019603693010621735,-2.7799064770343145e-06,,,,,ether,alkane
63cf132ba60f4f1b8618fd6cfd3c6249,308.15,101.0,2,C1CCOCC1,0.4964,CCCCCCC,0.5036,0.7476123760634982,0.0,0.7377587520877803,0.00023100241400370343,9.709390545484211e-05,0.007874015748031496,0.04821932532357388,0.00032881073679286117,0.16357910820376664,-0.034149909730228224,0.14750777514364385,0.016848508010774622,,,0.006343701174985988,0.0002820835755257357,,,,,ether,alkane
bc585347bdca4681aec8c3d07beef2b1,308.15,101.0,2,C1CCOCC1,0.7123,CCCCCCC,0.2877,0.7924440593876021,0.0,0.7879541166862695,0.00023527628561651877,2.0159585461250133e-05,0.007874015748031496,0.04821932532357388,6.827089834217532e-05,0.043278894502680576,-0.019176720513741106,0.07138576812736258,0.005587247667998159,,,0.004630670801729983,0.0002980867461654458,,,,,ether,alkane
875955cc84a447e7aaa39a44f639df41,308.15,101.0,2,C1CCOCC1,0.2613,CCCCCCC,0.7387,0.7074964833700644,0.0,0.6933309605232977,0.00022074419715159012,0.00020066203752227088,0.007874015748031496,0.04821932532357388,0.0006795465904370437,0.3478076235632205,-0.05661359744112359,0.2415481744100657,0.027371995414711643,,,0.004738658860901064,-0.00029383449630239857,,,,,ether,alkane
8ac3be195dc545c3b5bbc756eaafd9e5,298.15,101.0,2,COC(C)(C)C,0.7973,CCCCCCCCCC,0.2027,0.7314400000000002,0.0,0.7341698851823244,0.00021505956778298987,7.4522731086732235e-06,0.007874015748031496,0.04821932532357388,2.523729373296382e-05,-0.045983782057304384,0.009267278221573538,-0.03900826075291728,-0.004572725664657837,,,-0.002530854415360496,-0.00015586915154604792,,,,,ether,alkane
