Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
1b5f66e1e6894b39901ce1fb64fd1b6f,303.15,101.0,2,CC(C)OC(C)C,0.2252,CC(C)CC(C)(C)C,0.7748,0.132161,0.0,0.27448041021720826,0.053595544503748774,0.020254814524574002,0.010638297872340425,1.5943650773897426,8.476662087388889e-05,-0.019606868826316484,0.0019276934804998284,-0.022840108186353205,-0.010336755286155736,-0.0006531653182817278,-0.00023069736808197818,,,,,,,ether,alkane
bdc9be3207fe49ea9936ec76d3864c57,303.15,101.0,2,CC(C)OC(C)C,0.4875,CC(C)CC(C)(C)C,0.5125,0.197047,0.0,0.3350499361807664,0.04774607531663546,0.019044810394512682,0.010638297872340425,1.5943650773897426,7.970274032221521e-05,-0.2054987435174363,-0.019544283699265075,-0.017384643741768794,-0.01408801695911608,-0.0031583022640320696,-0.004730326794464271,,,,,,,ether,alkane
344ef6cb0c4446e4b166264a55317bf1,303.15,101.0,2,CC(C)OC(C)C,0.7307,CC(C)CC(C)(C)C,0.2693,0.158983,0.0,0.30105325451167886,0.049520066874177794,0.020183957217013205,0.010638297872340425,1.5943650773897426,8.44700822648158e-05,-0.1338527578292903,-0.008020909454924906,-0.024845181213649505,-0.011824727277739821,-0.005864341221483547,-0.007049996726986192,,,,,,,ether,alkane
a4f021b570a04fd98714ad589171a0a7,308.15,101.0,2,C1CCOCC1,0.2734,C1CCCCC1,0.7266,0.4424,0.0,0.5609441776408346,0.04218247858518241,0.014052722052541745,0.010638297872340425,1.5943650773897426,5.8810795874172394e-05,-0.06892451366556064,-0.006367663104112572,-0.009493696744825891,-0.0031639093535346667,-0.0009268126767477416,0.00033647212859795324,,,,,,,ether,alkane
92a3e1f2df4b47f18fd0c7e6a32a5efe,308.15,101.0,2,C1CCOCC1,0.5322,C1CCCCC1,0.4678,0.5262,0.0,0.7231263118630835,0.03934183459663254,0.03877997230399643,0.010638297872340425,1.5943650773897426,0.00016229460930410142,0.07423573185534617,0.003268527337916753,1.6356867107555924e-05,-0.002530947047902416,-0.0008956462325094641,0.0012972641997349046,,,,,,,ether,alkane
30879035a55e44f5985205629964648f,308.15,101.0,2,C1CCOCC1,0.7529,C1CCCCC1,0.2471,0.3613,0.0,0.562263708496971,0.042252971094367736,0.04038641213285555,0.010638297872340425,1.5943650773897426,0.0001690175776020538,-0.018361960397831955,-0.002554288623658407,-0.00369309648125908,-0.005163290502020958,-0.00413042888540405,-0.003631242037447144,,,,,,,ether,alkane
9cb787e7d46b4c7284a7a8ac1d4198e5,308.15,101.0,2,C1CCOCC1,0.5008,CCCCCCC,0.4992,0.6422,0.0,1.2389003711856645,0.04377554047027775,0.35605133297310987,0.010638297872340425,1.5943650773897426,0.0014900787324987435,0.15602450492854955,0.01955080284658313,-0.02948928556810084,0.03439576354297546,-0.01044285286206286,0.009726421628902075,,,,,,,ether,alkane
d9871b2b02a44d0cb16531f75825400d,308.15,101.0,2,C1CCOCC1,0.7654,CCCCCCC,0.2346,0.4358,0.0,0.9489947123515634,0.03925735236459708,0.2633688127856039,0.010638297872340425,1.5943650773897426,0.00110220136927534,-0.011837797178378951,-0.008170390890468494,-0.03470117161943865,-0.005917832177845219,-0.015818075335147615,-0.004010045475195584,,,,,,,ether,alkane
b08a96b6a9c04b2aa15e51f4d3235370,308.15,101.0,2,C1CCOCC1,0.2324,CCCCCCC,0.7676,0.4218,0.0,0.7337167376203411,0.04528687239621994,0.09729205120771668,0.010638297872340425,1.5943650773897426,0.0004071683010852432,0.033844350059195547,-0.008441700988555432,0.02425673106993664,0.011517763163556021,-0.0047453456137617036,-0.0014169195442989234,,,,,,,ether,alkane
649fd9a544014629b1e2bcb4fb39e694,298.15,101.3,2,COC(C)(C)C,0.7473,CCCCCCCCCC,0.2527,0.3911,0.0,0.7471815585494426,0.046597573839051096,0.12679407633900008,0.010638297872340425,1.5943650773897426,0.0005306345997413667,0.09129676490693744,0.00039142518752976536,0.03010121169384509,0.006369889558976618,-0.0005006233979903895,-0.0005323707660530573,,,,,,,ether,alkane
